trade_date,bar_ts,future_ts_code,future_close,future_per_unit,call_ts_code,call_close,call_settle,put_ts_code,put_close,put_settle,option_per_unit,rate,ttm,iv_call_used,iv_put_used,delta_call,delta_put,combo_delta,target_future_position,gamma_call,gamma_put,vega_call,vega_put,theta_call,theta_put
2025-01-08,2025-01-08T15:00:00.000000,AG2502.SHF,7740.0,15.0,AG2502C7700.SHF,150.5,174.39028041387655,AG2502P7700.SHF,115.0,134.39105052643396,15.0,0.000164,0.03561643835616438,0.2633726323768496,0.263451610263437,0.5543794678016766,-0.445617591529521,0.10876187627215556,-0.10876187627215556,-7.11638659295539e-15,2.8465546371821557e-15,5.792307904390336,5.792306861377789,-8.75220775483379,-8.749818843102375
2025-01-09,2025-01-09T15:00:00.000000,AG2502.SHF,7757.0,15.0,AG2502C7700.SHF,160.0,173.78447379213654,AG2502P7700.SHF,103.5,116.78553121746269,15.0,0.00016662857142857142,0.03287671232876712,0.25612612308934324,0.2562037332169711,0.553732564343501,-0.4462646596456374,0.10746790469786366,-0.10746790469786366,-8.502274403548856e-15,9.683145848486196e-15,5.571366964036669,5.571366100890948,-8.891679213566874,-8.889279864346548
2025-01-10,2025-01-10T15:00:00.000000,AG2502.SHF,7804.0,15.0,AG2502C7700.SHF,183.5,197.76388373036815,AG2502P7700.SHF,83.0,93.76186624132986,15.0,0.00017485714285714286,0.030136986301369864,0.2594915885291993,0.2595673527382314,0.639754654600709,-0.3602428898667196,0.2795117647339894,-0.2795117647339894,-2.3333811117121104e-15,1.8667048893696884e-15,5.089321905606309,5.089321255305752,-9.004860458058687,-9.002144573961758
2025-01-13,2025-01-13T15:00:00.000000,AG2502.SHF,7769.0,15.0,AG2502C7700.SHF,152.0,157.6521722574552,AG2502P7700.SHF,82.0,88.65340360382514,15.0,0.00019537142857142857,0.021917808219178082,0.2633726323768496,0.263451610263437,0.6041714241670935,-0.39593921783930885,0.2082322063277846,-0.2082322063277846,0.008866865791768134,0.0088959110528399,4.330775720183135,4.330775303265421,-10.844298760650872,-10.841578829256619
2025-01-14,2025-01-14T15:00:00.000000,AG2502.SHF,7595.0,15.0,AG2502C7700.SHF,52.0,77.36566725764968,AG2502P7700.SHF,159.0,182.82125503280432,15.0,0.0002162,0.019178082191780823,0.2897492004185915,0.2909662723727523,0.3764313460560674,-0.6235367280369565,-0.2471053819808891,0.2471053819808891,-4.92713700723996e-16,8.868846613031929e-15,4.005635974272244,4.005627906720473,-12.70539449363632,-12.752126853616545
2025-01-15,2025-01-15T15:00:00.000000,AG2502.SHF,7674.0,15.0,AG2502C7700.SHF,75.5,96.14064833567961,AG2502P7700.SHF,102.5,122.14529594329144,15.0,0.00020695000000000002,0.01643835616438356,0.27548511281609533,0.2755638127028942,0.46260444940216267,-0.537393551450275,-0.07478910204811234,0.07478910204811234,-1.0376360823198758e-14,2.1717964513671817e-15,3.918980429441129,3.918980055877635,-13.93291715705476,-13.930572093628385
2025-01-16,2025-01-16T15:00:00.000000,AG2503.SHF,7858.0,15.0,AG2503C7900.SHF,196.0,219.3429064864138,AG2503P7900.SHF,242.0,260.7996277994618,15.0,0.00016800123287671233,0.10684931506849316,0.23282141935080286,0.23242917462252077,0.47079196018063796,-0.5292334669133812,-0.05844150673274329,0.05844150673274329,-7.364548537613143e-15,6.4439799704115e-15,10.235140835451267,10.23516654825351,-4.4693463406892135,-4.456564957630519
2025-01-17,2025-01-17T15:00:00.000000,AG2503.SHF,7821.0,15.0,AG2503C7900.SHF,200.5,206.84493083392786,AG2503P7900.SHF,250.0,285.8463674993785,15.0,0.00016866287671232874,0.10410958904109589,0.24074893545359372,0.24088799094781274,0.47110251746874143,-0.5288885805913817,-0.05778606312264023,0.05778606312264023,-8.363693873199946e-15,6.505095234711069e-15,10.07906609992916,10.079056848232334,-4.671770594711717,-4.669176210619526
2025-01-20,2025-01-20T15:00:00.000000,AG2503.SHF,7758.0,15.0,AG2503C7900.SHF,144.5,175.46396097743576,AG2503P7900.SHF,310.0,317.461542480978,15.0,0.00016920856164383562,0.0958904109589041,0.24843341858126222,0.24857064669020473,0.3862769715486975,-0.6132990753889277,-0.2270221038402302,0.2270221038402302,0.0007159482502655275,0.0008231565758516233,9.164434213352203,9.164426375724984,-4.762886139615688,-4.760207639303587
2025-01-21,2025-01-21T15:00:00.000000,AG2503.SHF,7773.0,15.0,AG2503C7900.SHF,147.0,170.18547778698422,AG2503P7900.SHF,273.5,297.19193346478295,15.0,0.00017014993150684933,0.09315068493150686,0.23974490585736924,0.23988342017866665,0.4332691000476417,-0.5663095464944761,-0.13304044644683438,0.13304044644683438,0.009502118220164099,0.009395861156588331,9.505619567252385,9.50561150583857,-4.775176612187039,-4.778958595951337
2025-01-22,2025-01-22T15:00:00.000000,AG2503.SHF,7800.0,15.0,AG2503C7900.SHF,162.0,168.08294323476662,AG2503P7900.SHF,263.0,268.09017129338673,15.0,0.00017016178082191784,0.09041095890410959,0.22757810981944204,0.22771536016836763,0.4692561760180343,-0.530735645036545,-0.0614794690185107,0.0614794690185107,-8.408789772309467e-15,1.027740972171157e-14,9.381735166542038,9.381727930396897,-4.74040089028361,-4.737920715782366
2025-01-23,2025-01-23T15:00:00.000000,AG2503.SHF,7713.0,15.0,AG2503C7900.SHF,119.0,132.44616722870617,AG2503P7900.SHF,298.0,319.4413510298459,15.0,0.00017037397260273972,0.08767123287671233,0.23034216163679955,0.23047167803160845,0.38183289234434953,-0.6181598214393947,-0.2363269290950452,0.2363269290950452,-9.555062410323692e-15,1.0510568651356059e-14,8.739005031923659,8.738998459444403,-4.6102993658856235,-4.607546537150313
2025-01-24,2025-01-24T15:00:00.000000,AG2503.SHF,7769.0,15.0,AG2503C7900.SHF,127.5,150.04427187656344,AG2503P7900.SHF,265.5,281.0449282549945,15.0,0.0001704923287671233,0.08493150684931507,0.22964542744681235,0.22977870054543015,0.38158767682728706,-0.6184049454402607,-0.23681726861297364,0.23681726861297364,-3.767124202849841e-15,7.534248405699682e-15,8.632570098923011,8.632564037515841,-4.688783724600256,-4.686155931758265
2025-01-27,2025-01-27T15:00:00.000000,AG2503.SHF,7677.0,15.0,AG2503C7900.SHF,102.0,101.08480744926156,AG2503P7900.SHF,326.5,324.0839903111335,15.0,0.00017526649746192892,0.07671232876712329,0.22396683325991035,0.22410965472459793,0.30337717626009325,-0.6958930443188887,-0.3925158680587954,0.3925158680587954,0.0011410068949003756,0.0013293466169511773,7.3797370088355105,7.379731730174694,-4.333440013396995,-4.330705403435218
2025-02-05,2025-02-05T15:00:00.000000,AG2503.SHF,8091.0,15.0,AG2503C7900.SHF,285.0,287.21290044142546,AG2503P7900.SHF,86.5,96.22374790225167,15.0,0.00018915939086294417,0.052054794520547946,0.2414536686241626,0.24158217680640515,0.6517135895720786,-0.3488028765345515,0.3029107130375271,-0.3029107130375271,0.0024850038819670996,0.0023559907039824557,6.897277024620804,6.897274680938156,-6.341933325911782,-6.347559831357103
2025-02-06,2025-02-06T15:00:00.000000,AG2503.SHF,8028.0,15.0,AG2503C7900.SHF,230.0,259.3819177187416,AG2503P7900.SHF,103.0,131.38588168084962,15.0,0.00018184263959390864,0.049315068493150684,0.266908949073404,0.26702081989496945,0.6424336175030743,-0.35756175598812867,0.2848718615149456,-0.2848718615149456,-7.49694610711186e-15,1.7639873193204377e-15,6.686958704276199,6.6869564941919135,-7.335064100928747,-7.332433880206722
2025-02-07,2025-02-07T15:00:00.000000,AG2503.SHF,8043.0,15.0,AG2503C7900.SHF,238.0,256.78218311008527,AG2503P7900.SHF,92.5,113.78480941502234,15.0,0.0001776918781725888,0.04657534246575343,0.2558409990929067,0.25594554554671056,0.6416731053468371,-0.3583226911240493,0.2833504142227878,-0.2833504142227878,-1.581672480785579e-14,3.295151001636623e-15,6.504947409163896,6.504945623587556,-7.251074285021019,-7.248463276667081
2025-02-10,2025-02-10T15:00:00.000000,AG2503.SHF,8048.0,15.0,AG2503C7900.SHF,236.5,235.0493424787308,AG2503P7900.SHF,87.5,87.50295237825209,15.0,0.00018020000000000002,0.038356164383561646,0.23969911929219953,0.2405596861708909,0.6401218912336933,-0.35984668825925425,0.2802752029744391,-0.2802752029744391,-1.3603039324050001e-14,1.2067212303592743e-14,5.905563013525795,5.905553388209625,-7.526202309603093,-7.547545727463998
