bar_ts,trade_date,nav,capital_used,capital_usage,return_rate,name
2025-01-06T15:00:00.000000,2025-01-06,999982.1871641079,4757.7257676155305,0.004757810517713488,0.0,open
2025-01-07T15:00:00.000000,2025-01-07,999854.4380824568,7616.185005648616,0.007617293793539694,-0.00012775135726506015,mtm
2025-01-08T15:00:00.000000,2025-01-08,999913.4652791977,7625.025788193384,0.007625685674774177,-0.00006872310906369528,mtm
2025-01-09T15:00:00.000000,2025-01-09,999777.5345216807,4862.369665593203,0.004863451615683168,-0.00020465628793608914,mtm
2025-01-10T15:00:00.000000,2025-01-10,999804.3343168297,7684.18773883775,0.007685691564928438,-0.0001778560153982145,mtm
2025-01-13T15:00:00.000000,2025-01-13,999486.0190173681,10076.521021875533,0.010081702825400335,-0.0004961769850589937,mtm
2025-01-14T15:00:00.000000,2025-01-14,999818.5876861772,4716.535938559241,0.004717391731508463,-0.00016360239215318373,mtm
2025-01-15T15:00:00.000000,2025-01-15,999385.0125528397,197.90388956569322,0.00019802567286872295,-0.0005971852488310114,mtm
2025-01-16T15:00:00.000000,2025-01-16,1000582.5913093559,0.0,0.0,0.0006004148403391252,close
2025-01-16T15:00:00.000000,2025-01-16,1000565.3153483372,4197.288305642306,0.004194916854759313,0.0005831385715808768,open
2025-01-17T15:00:00.000000,2025-01-17,1000610.7563333246,1081.5452908563727,0.001080885133415543,0.0006285803660155409,mtm
2025-01-20T15:00:00.000000,2025-01-20,1000612.6614981988,1075.5508035102444,0.0010748922584088055,0.0006304855648266994,mtm
2025-01-21T15:00:00.000000,2025-01-21,1000106.3651077551,4125.260800446089,0.004124822063302855,0.00012418015564796825,mtm
2025-01-22T15:00:00.000000,2025-01-22,1000269.2709870674,4173.661818902923,0.004172538275402929,0.0002870889368276064,mtm
2025-01-23T15:00:00.000000,2025-01-23,999828.8192808701,1086.2263455911575,0.0010864123184330984,-0.00015337061520337425,mtm
2025-01-24T15:00:00.000000,2025-01-24,999501.6094540544,7031.883359678791,0.007035389731407968,-0.00048058627065783455,mtm
2025-01-27T15:00:00.000000,2025-01-27,999469.7074963597,4152.206788980794,0.004154409841376726,-0.0005124887966270197,mtm
2025-02-05T15:00:00.000000,2025-02-05,1000075.9393333193,5133.842588335003,0.005133452757354983,0.00009375383923315717,mtm
2025-02-06T15:00:00.000000,2025-02-06,999755.3770627251,7969.15050409407,0.007971100418091657,-0.00022681414158587376,mtm
2025-02-07T15:00:00.000000,2025-02-07,999608.9197112616,5081.4944771619585,0.005083482526976405,-0.0003732741019165653,mtm
2025-02-10T15:00:00.000000,2025-02-10,999490.2661243759,5055.854972108654,0.005058433426983977,-0.0004919298023968732,mtm
2025-02-11T15:00:00.000000,2025-02-11,999165.8527990084,7866.588358498679,0.007873155729313257,-0.0008163489065886598,mtm
2025-02-12T15:00:00.000000,2025-02-12,999062.7410186604,1889.6559651508092,0.0018914287237096698,-0.0009194625236825793,mtm
2025-02-13T15:00:00.000000,2025-02-13,999040.6711342388,1894.8208699216163,0.0018966403717782312,-0.0009415328012383206,mtm
2025-02-14T15:00:00.000000,2025-02-14,1000847.4771534092,5140.687027156659,0.005136334101353485,0.0008653054028444629,mtm
2025-02-17T15:00:00.000000,2025-02-17,998904.3206823345,14207.539312892923,0.014223123294919773,-0.0010778856819742,mtm
2025-02-18T15:00:00.000000,2025-02-18,998253.3011492387,6882.9856201475595,0.006895029159656697,-0.0017289168117805565,mtm
2025-02-19T15:00:00.000000,2025-02-19,998309.2351316867,0.0,0.0,-0.0016729818329720425,close
2025-02-19T15:00:00.000000,2025-02-19,998301.6583045974,1178.4231267899208,0.001180427896705312,-0.0016805587950284862,open
2025-02-20T15:00:00.000000,2025-02-20,998402.4800099052,2170.0483688711456,0.002173520611496895,-0.001579735293768203,mtm
2025-02-21T15:00:00.000000,2025-02-21,998129.8803709178,2162.8998552187113,0.0021669523152787994,-0.0018523397886146542,mtm
2025-02-24T15:00:00.000000,2025-02-24,997608.4005103271,294.1945696933864,0.0002948998520290036,-0.0023738289384060973,mtm
2025-02-25T15:00:00.000000,2025-02-25,996808.6415353026,1126.8314241467497,0.001130439060411017,-0.003173602159659672,mtm
2025-02-26T15:00:00.000000,2025-02-26,996759.713862989,4276.940531963763,0.004290844094599569,-0.0032225307035295137,mtm
2025-02-27T15:00:00.000000,2025-02-27,996737.7165942279,4295.502384035373,0.004309561394659326,-0.0032445283641312495,mtm
2025-02-28T15:00:00.000000,2025-02-28,996567.3549599521,4272.506714093851,0.004287223229648683,-0.0034148930330849536,mtm
2025-03-03T15:00:00.000000,2025-03-03,996293.2156995335,9790.862733845834,0.009827290379540842,-0.003689037176788257,mtm
2025-03-04T15:00:00.000000,2025-03-04,996259.4631834825,4356.245995437031,0.0043726018737296896,-0.00372279029407796,mtm
2025-03-05T15:00:00.000000,2025-03-05,996221.2106695824,4395.960665621043,0.004412635083995471,-0.0037610434893760036,mtm
2025-03-06T15:00:00.000000,2025-03-06,996378.2318367055,2643.0121005321776,0.0026526192725628873,-0.003604019525210722,mtm
