trade_date,bar_ts,nav,margin_by_future,cash,pnl,pnl_future,pnl_call,pnl_put,pnl_option,cash_future,cash_call,cash_put,cash_option,nav_future,nav_call,nav_put,nav_option,capital_used,capital_future,capital_call,capital_put,capital_option,future_ts_code,call_ts_code,put_ts_code,fee,fee_future,fee_call,fee_put,fee_option,slippage,name
2025-01-06,2025-01-06T15:00:00.000000,999982.1871641079,4757.7257676155305,991316.9613964924,0.0,0.0,0.0,0.0,0.0,-4773.584853507582,-2123.56125,-1785.8925,-3909.45375,-15.859085892051768,-1.06125,-0.8925000000000001,-1.95375,8665.225767615531,4757.7257676155305,2122.5,1785.0,3907.5,AG2502.SHF,AG2502C7600.SHF,AG2502P7600.SHF,17.812835892051766,15.859085892051768,1.06125,0.8925000000000001,1.95375,3.1721343918483496,open
2025-01-07,2025-01-07T15:00:00.000000,999854.4380824568,7616.185005648616,987940.7530768083,-118.47509631539043,-508.47509631539043,1012.5,-622.5,390.0,-3376.208319684184,0.0,0.0,0.0,-517.7490816510979,1012.5,-622.5,390.0,,7616.185005648616,3135.0,1162.5,4297.5,AG2502.SHF,AG2502C7600.SHF,AG2502P7600.SHF,9.273985335707412,9.273985335707412,0.0,0.0,0.0,1.8549825653976275,mtm
2025-01-08,2025-01-08T15:00:00.000000,999913.4652791977,7625.025788193384,987885.9394910045,59.033685156920086,-45.96631484307991,112.5,-7.5,105.0,-54.813585803890874,0.0,0.0,0.0,-45.97280325912334,112.5,-7.5,105.0,,7625.025788193384,3247.5,1155.0,4402.5,AG2502.SHF,AG2502C7600.SHF,AG2502P7600.SHF,0.006488416043428417,0.006488416043428417,0.0,0.0,0.0,0.0012978129899852554,mtm
2025-01-09,2025-01-09T15:00:00.000000,999777.5345216807,4862.369665593203,990527.6648560878,-126.66098384109516,-111.66098384109516,105.0,-120.0,-15.0,2641.7253650832045,0.0,0.0,0.0,-120.93075751697685,105.0,-120.0,-15.0,,4862.369665593203,3352.5,1035.0,4387.5,AG2502.SHF,AG2502C7600.SHF,AG2502P7600.SHF,9.269773675881698,9.269773675881698,0.0,0.0,0.0,1.8537693582408563,mtm
2025-01-10,2025-01-10T15:00:00.000000,999804.3343168297,7684.18773883775,987500.1465779922,36.11091192425124,-196.3890880757488,480.0,-247.5,232.5,-3027.5182780955124,0.0,0.0,0.0,-205.7002048509653,480.0,-247.5,232.5,,7684.18773883775,3832.5,787.5,4620.0,AG2502.SHF,AG2502C7600.SHF,AG2502P7600.SHF,9.311116775216515,9.311116775216515,0.0,0.0,0.0,1.8624095960020555,mtm
2025-01-13,2025-01-13T15:00:00.000000,999486.0190173681,10076.521021875533,985329.4979954929,-310.2259796632993,229.7740203367007,-510.0,-30.0,-540.0,-2170.6485824993424,0.0,0.0,0.0,221.68470053844075,-510.0,-30.0,-540.0,,10076.521021875533,3322.5,757.5,4080.0,AG2502.SHF,AG2502C7600.SHF,AG2502P7600.SHF,8.089319798259949,8.089319798259949,0.0,0.0,0.0,1.618025762227882,mtm
2025-01-14,2025-01-14T15:00:00.000000,999818.5876861772,4716.535938559241,992177.0517476182,349.6895840794814,1504.6895840794814,-1890.0,735.0,-1155.0,6847.553752125388,0.0,0.0,0.0,1487.5686688090962,-1890.0,735.0,-1155.0,,4716.535938559241,1432.5,1492.5,2925.0,AG2502.SHF,AG2502C7600.SHF,AG2502P7600.SHF,17.1209152703852,17.1209152703852,0.0,0.0,0.0,3.4238406700105637,mtm
2025-01-15,2025-01-15T15:00:00.000000,999385.0125528397,197.90388956569322,996352.1086632742,-417.0301358244075,-327.0301358244075,525.0,-615.0,-90.0,4175.056915655971,0.0,0.0,0.0,-343.5751333375763,525.0,-615.0,-90.0,,197.90388956569322,1957.5,877.5,2835.0,AG2502.SHF,AG2502C7600.SHF,AG2502P7600.SHF,16.544997513168777,16.544997513168777,0.0,0.0,0.0,3.308668635768992,mtm
2025-01-16,2025-01-16T15:00:00.000000,1000582.5913093559,0.0,1000582.5913093562,1200.2559306779442,30.25593067794429,1800.0,-630.0,1170.0,227.48514608194353,3755.62125,247.37625,4002.9975,29.58125651625031,1798.12125,-630.12375,1167.9975,,,,,,AG2502.SHF,AG2502C7600.SHF,AG2502P7600.SHF,2.6771741616939786,0.6746741616939788,1.8787500000000001,0.12375,2.0025,0.13494832717148786,close
2025-01-16,2025-01-16T15:00:00.000000,1000565.3153483372,4197.288305642306,989798.0270426951,0.0,0.0,0.0,0.0,0.0,-4211.279266661114,-2941.47,-3631.815,-6573.284999999999,-13.990961018807688,-1.47,-1.815,-3.285,10767.288305642305,4197.288305642306,2940.0,3630.0,6570.0,AG2503.SHF,AG2503C7900.SHF,AG2503P7900.SHF,17.27596101880769,13.990961018807688,1.47,1.815,3.285,2.797912412519053,open
2025-01-17,2025-01-17T15:00:00.000000,1000610.7563333246,1081.5452908563727,992771.7110424684,55.75813277774168,-131.74186722225832,67.5,120.0,187.5,2973.6839997733186,0.0,0.0,0.0,-142.05901501261448,67.5,120.0,187.5,,1081.5452908563727,3007.5,3750.0,6757.5,AG2503.SHF,AG2503C7900.SHF,AG2503P7900.SHF,10.31714779035616,10.31714779035616,0.0,0.0,0.0,2.063635921664335,mtm
2025-01-20,2025-01-20T15:00:00.000000,1000612.6614981988,1075.5508035102444,992719.6106946887,1.9135082975531077,-58.08649170244688,-840.0,900.0,60.0,-52.10034777970308,0.0,0.0,0.0,-58.09483512583146,-840.0,900.0,60.0,,1075.5508035102444,2167.5,4650.0,6817.5,AG2503.SHF,AG2503C7900.SHF,AG2503P7900.SHF,0.008343423384579272,0.008343423384579272,0.0,0.0,0.0,0.0016685178251340826,mtm
