trade_date,bar_ts,future_ts_code,future_close,future_per_unit,call_ts_code,call_close,put_ts_code,put_close,option_per_unit,rate,ttm,iv_call_used,iv_put_used,delta_call,delta_put,combo_delta,target_future_position
2025-01-06,2025-01-06T15:00:00.000000,AG2502.SHF,7611.0,15.0,AG2502C7600.SHF,141.5,AG2502P7600.SHF,119.0,15.0,0.00016394263959390866,0.0410958904109589,0.2,0.2,0.6389276219440856,-0.3610723780558941,0.2778552438881915,-0.2778552438881915
2025-01-07,2025-01-07T15:00:00.000000,AG2502.SHF,7733.0,15.0,AG2502C7600.SHF,209.0,AG2502P7600.SHF,77.5,15.0,0.0001616,0.038356164383561646,0.22097764238715167,0.20230160176753997,0.7191942539018303,-0.2814198268248788,0.4377744270769515,-0.4377744270769515
2025-01-08,2025-01-08T15:00:00.000000,AG2502.SHF,7740.0,15.0,AG2502C7600.SHF,216.5,AG2502P7600.SHF,77.0,15.0,0.000164,0.03561643835616438,0.2201222333312034,0.2228468981385231,0.7188999211187972,-0.2810137099772475,0.4378862111415497,-0.4378862111415497
2025-01-09,2025-01-09T15:00:00.000000,AG2502.SHF,7757.0,15.0,AG2502C7600.SHF,223.5,AG2502P7600.SHF,69.0,15.0,0.00016662857142857142,0.03287671232876712,0.23395950600504875,0.23495401874184607,0.6392662155438888,-0.3607001331669402,0.27856608237694863,-0.27856608237694863
2025-01-10,2025-01-10T15:00:00.000000,AG2502.SHF,7804.0,15.0,AG2502C7600.SHF,255.5,AG2502P7600.SHF,52.5,15.0,0.00017485714285714286,0.030136986301369864,0.23447568118572232,0.23981120139360423,0.7187545603880079,-0.2810897597466732,0.4376648006413347,-0.4376648006413347
2025-01-13,2025-01-13T15:00:00.000000,AG2502.SHF,7769.0,15.0,AG2502C7600.SHF,221.5,AG2502P7600.SHF,50.5,15.0,0.00019537142857142857,0.021917808219178082,0.2409787115454673,0.2432522308826446,0.7882304418099007,-0.21172102262235992,0.5765094191875407,-0.5765094191875407
2025-01-14,2025-01-14T15:00:00.000000,AG2502.SHF,7595.0,15.0,AG2502C7600.SHF,95.5,AG2502P7600.SHF,99.5,15.0,0.0002162,0.019178082191780823,0.259884061217308,0.254829832315445,0.6380527576988895,-0.3620779595348325,0.27597479816405696,-0.27597479816405696
2025-01-15,2025-01-15T15:00:00.000000,AG2502.SHF,7674.0,15.0,AG2502C7600.SHF,130.5,AG2502P7600.SHF,58.5,15.0,0.00020695000000000002,0.01643835616438356,0.23364936202764508,0.2313345059752464,0.4942990022065585,-0.5057595820088101,-0.011460579802251625,0.011460579802251625
2025-01-16,2025-01-16T15:00:00.000000,AG2503.SHF,7858.0,15.0,AG2503C7900.SHF,196.0,AG2503P7900.SHF,242.0,15.0,0.00016800123287671233,0.10684931506849316,0.2,0.2,0.38131363313309974,-0.6186863668668985,-0.23737273373379875,0.23737273373379875
2025-01-17,2025-01-17T15:00:00.000000,AG2503.SHF,7821.0,15.0,AG2503C7900.SHF,200.5,AG2503P7900.SHF,250.0,15.0,0.00016866287671232874,0.10410958904109589,0.2100164146721363,0.21406254962086677,0.46913715963647784,-0.5306043466231941,-0.06146718698671627,0.06146718698671627
2025-01-20,2025-01-20T15:00:00.000000,AG2503.SHF,7758.0,15.0,AG2503C7900.SHF,144.5,AG2503P7900.SHF,310.0,15.0,0.00016920856164383562,0.0958904109589041,0.23445391565561297,0.20532680287957186,0.47008806309619156,-0.5316986304923891,-0.061610567396197524,0.061610567396197524
