trade_date,bar_ts,future_ts_code,future_close,future_per_unit,call_ts_code,call_close,call_settle,put_ts_code,put_close,put_settle,option_per_unit,rate,ttm,iv_call_used,iv_put_used,delta_call,delta_put,combo_delta,target_future_position,gamma_call,gamma_put,vega_call,vega_put,theta_call,theta_put
2025-01-08,2025-01-08T23:45:00.000000,AG2502.SHF,7754.0,15.0,AG2502C7800.SHF,111.5,126.37880079305417,AG2502P7800.SHF,157.0,172.37956053153695,15.0,0.000164,0.03287671232876712,0.2627121975459158,0.26278856594115485,0.4650650213579853,-0.5349322317048323,-0.06986721034684701,0.06986721034684701,-1.2290567880672984e-14,7.563426388106451e-15,5.606444795618687,5.60644381223722,-9.177060645928705,-9.174650077213755
2025-01-09,2025-01-09T23:45:00.000000,AG2502.SHF,7781.0,15.0,AG2502C7800.SHF,120.0,129.6534053391931,AG2502P7800.SHF,137.0,148.656237296371,15.0,0.00016662857142857142,0.030136986301369864,0.2571342707891018,0.257212379463017,0.4644675546852694,-0.5355297565243862,-0.07106220183911677,0.07106220183911677,-6.102709774725511e-15,9.858223482248902e-15,5.377250344545462,5.377249505632431,-9.426868013518828,-9.424571961266679
2025-01-10,2025-01-10T23:45:00.000000,AG2502.SHF,7806.0,15.0,AG2502C7800.SHF,131.0,137.0524634508349,AG2502P7800.SHF,124.0,131.0542532746706,15.0,0.00017485714285714286,0.0273972602739726,0.260444312337786,0.2605205621197819,0.5427844233405225,-0.4572130851675243,0.08557133817299817,-0.08557133817299817,0.002635097301373786,0.0026350969428954067,5.135289282321394,5.135288588376142,-10.0675153327999,-10.065048483432676
2025-01-11,2025-01-11T02:30:00.000000,AG2502.SHF,7787.0,15.0,AG2502C7800.SHF,107.0,130.89019501138358,AG2502P7800.SHF,125.5,139.65656785688827,15.0,0.02,0.0273972602739726,0.2627121975459158,0.26278856594115485,0.4692177971912842,-0.530781142151927,-0.06156334496064275,0.06156334496064275,-2.577938397479445e-15,-9.3743214453798e-16,5.129702914191388,5.129700999459998,-10.439040672672704,-9.823252492162226
2025-01-13,2025-01-13T23:45:00.000000,AG2502.SHF,7636.0,15.0,AG2502C7800.SHF,41.5,48.83890699158777,AG2502P7800.SHF,210.5,212.83761458885996,15.0,0.00019537142857142857,0.019178082191780823,0.2627121975459158,0.26278856594115485,0.29450849974262444,-0.7054896824091822,-0.41098118266655775,0.41098118266655775,-7.555271125004937e-15,6.824115854843169e-15,3.657660869126183,3.6576603800262864,-10.518714942857656,-10.515724043225902
2025-01-14,2025-01-14T23:45:00.000000,AG2502.SHF,7633.0,15.0,AG2502C7800.SHF,31.5,50.07542661427915,AG2502P7800.SHF,200.0,217.0723564495294,15.0,0.0002162,0.01643835616438356,0.29002466484904277,0.2900974748469888,0.29464476229208786,-0.7053536319456916,-0.4107088696536037,0.4107088696536037,-1.7073702692718287e-15,9.756401538696165e-15,3.3856303376712935,3.3856299418567875,-12.671180800966525,-12.667668528752387
2025-01-15,2025-01-15T23:45:00.000000,AG2502.SHF,7749.0,15.0,AG2502C7800.SHF,65.5,76.32569586898265,AG2502P7800.SHF,117.5,127.33463235286219,15.0,0.00020695000000000002,0.0136986301369863,0.2751012581214308,0.2751870673894883,0.44629031118203033,-0.5536100190747236,-0.1073197078926933,0.1073197078926933,0.004049264508762931,0.0040240534501803015,3.618364365145749,3.618364025596778,-15.318718613438271,-15.318469364763274
2025-01-16,2025-01-16T23:45:00.000000,AG2503.SHF,7867.0,15.0,AG2503C7900.SHF,205.0,220.50165268274873,AG2503P7900.SHF,241.0,252.96695720195305,15.0,0.00016800123287671233,0.10410958904109589,0.23282141935080286,0.23242917462252077,0.4705947810534296,-0.529430317026824,-0.05883553597339436,0.05883553597339436,3.6738539022751825e-15,5.510780853412773e-15,10.109019122945496,10.109043722462943,-4.531575237280691,-4.518688910812756
2025-01-17,2025-01-17T23:45:00.000000,AG2503.SHF,7755.0,15.0,AG2503C7900.SHF,149.0,173.49013190075638,AG2503P7900.SHF,332.5,318.4860667719684,15.0,0.00016866287671232874,0.10136986301369863,0.24074893545359372,0.24088799094781274,0.3834510076347342,-0.616540564787885,-0.23308955715315077,0.23308955715315077,-1.2759990615583825e-14,1.2287398370562203e-14,9.42089374241188,9.420885313105886,-4.485763999332448,-4.483062701830875
2025-01-18,2025-01-18T02:30:00.000000,AG2503.SHF,7759.0,15.0,AG2503C7900.SHF,149.0,188.5990837333911,AG2503P7900.SHF,332.5,313.72875492349317,15.0,0.02,0.10136986301369863,0.24843341858126222,0.24857064669020473,0.42344424770107997,-0.576123494972787,-0.15267924727170706,0.15267924727170706,0.00767002098150982,0.00778067653583018,9.46490651374826,9.464840900868136,-4.900942937150916,-4.277760931684213
2025-01-20,2025-01-20T23:45:00.000000,AG2503.SHF,7726.0,15.0,AG2503C7900.SHF,137.5,159.9212467337487,AG2503P7900.SHF,319.0,333.9204283071067,15.0,0.00016920856164383562,0.09315068493150686,0.24843341858126222,0.24857064669020473,0.38328670845662727,-0.616705317329574,-0.23341860887294674,0.23341860887294674,-5.713760515305813e-15,2.8568802576529064e-15,9.014159284535365,9.014151529476504,-4.823948730820689,-4.821304010610277
2025-01-21,2025-01-21T23:45:00.000000,AG2503.SHF,7770.0,15.0,AG2503C7900.SHF,140.5,165.7192150223728,AG2503P7900.SHF,269.0,295.72105373828117,15.0,0.00017014993150684933,0.09041095890410959,0.23974490585736924,0.23988342017866665,0.4055859203994573,-0.593998861712527,-0.18841294131306974,0.18841294131306974,0.005923320917119673,0.006028159028418482,8.90643181027478,8.906424771006435,-4.740739102223216,-4.738139452455471
