bar_ts,trade_date,nav,capital_used,capital_usage,return_rate
2025-01-06T09:15:00.000000,2025-01-06,999993.980901089,12038.197821812588,0.012038270281352128,0.0
2025-01-06T09:30:00.000000,2025-01-06,1000037.8910923098,12081.270277024796,0.012080812521842354,0.00004391045552232242
2025-01-06T09:45:00.000000,2025-01-06,1000018.4031957386,12061.782380453462,0.012061560409196339,0.00002442244165057339
2025-01-06T10:00:00.000000,2025-01-06,1000040.6458728296,12084.025057544492,0.012083533911761781,0.00004666525262342347
2025-01-06T10:15:00.000000,2025-01-06,1000038.7235781802,12082.102762895038,0.012081634918760716,0.00004474294640344212
2025-01-06T10:45:00.000000,2025-01-06,1000019.4930045179,12062.872189232674,0.012062637052194118,0.00002551225698965709
2025-01-06T11:00:00.000000,2025-01-06,1000016.3522396347,12059.731424349524,0.01205953422395601,0.000022371473201943104
2025-01-06T11:15:00.000000,2025-01-06,1000060.2624308555,12103.641615570312,0.012102912264656812,0.00006628192872404348
2025-01-06T11:30:00.000000,2025-01-06,1000029.0439606218,12072.423145336614,0.012072072524537587,0.000035063270582114114
2025-01-06T13:45:00.000000,2025-01-06,1000083.5267724146,12126.905957129396,0.012125893120414405,0.00008954641031433397
2025-01-06T14:00:00.000000,2025-01-06,1000078.463712882,12121.84289759679,0.012120891847419001,0.00008448332030641659
2025-01-06T14:15:00.000000,2025-01-06,1000059.3618006741,12102.740985388915,0.01210202258753632,0.00006538129312172458
2025-01-06T14:30:00.000000,2025-01-06,1000078.3350514275,12121.714236142307,0.01212076475541185,0.00008435465807754561
2025-01-06T14:45:00.000000,2025-01-06,1000066.6044777652,12109.983662479945,0.012109177137060565,0.00007262401380736527
2025-01-06T15:00:00.000000,2025-01-06,1000143.6554338691,12187.034618583883,0.012185284136304464,0.00014967543369137637
2025-01-06T21:00:00.000000,2025-01-06,1001591.9350297638,13635.314214478618,0.013613642180608636,0.0015979637469767383
2025-01-06T21:15:00.000000,2025-01-06,1000306.9980892964,12350.377274011224,0.012346586895424996,0.0003130190723001913
2025-01-06T21:30:00.000000,2025-01-06,1000271.2917224914,12314.670907206193,0.012311330945027956,0.0002773124905737223
2025-01-06T21:45:00.000000,2025-01-06,1000166.2235781802,12209.602762895038,0.012207573576334282,0.0001722437138431676
2025-01-06T22:00:00.000000,2025-01-06,1000195.133769401,12238.512954115826,0.012236125272868468,0.00020115407907828065
2025-01-06T22:15:00.000000,2025-01-06,1000197.3133869594,12240.69257167425,0.012238277795631844,0.000203333709756226
2025-01-06T22:30:00.000000,2025-01-06,1000253.4006533494,12296.779838064187,0.012293664615418582,0.00025942131374301347
2025-01-06T22:45:00.000000,2025-01-06,1000303.721035791,12347.100220505763,0.01234335128506833,0.00030974199906963484
