trade_date,bar_ts,nav,pnl,pnl_future,pnl_call,pnl_put,pnl_option,cash,cash_future,cash_call,cash_put,cash_option,future_ts_code,future_pnl,future_notional,call_ts_code,call_pnl,call_notional,put_ts_code,put_pnl,put_notional,option_pnl,option_notional,fee,fee_future,fee_call,fee_put,fee_option,slippage,name
2025-01-06,2025-01-06T09:15:00.000000,999993.980901089,0.0,0.0,0.0,0.0,0.0,987955.7830792764,-8378.197821812588,-1725.0,-1935.0,-3660.0,AG2502.SHF,0.0,8378.197821812588,AG2502C7700.SHF,0.0,1725.0,AG2502P7700.SHF,0.0,1935.0,0.0,3660.0,6.019098910906294,4.189098910906294,0.8625,0.9675,1.83,0.8377360085799932,open
2025-01-06,2025-01-06T09:30:00.000000,1000037.8910923098,43.91019122078782,-1.0898087792121776,7.5,37.5,45.0,987999.6932704973,0.0,0.0,0.0,0.0,AG2502.SHF,-1.0898087792121776,8376.270277024796,AG2502C7700.SHF,7.5,1732.5,AG2502P7700.SHF,37.5,1972.5,45.0,3705.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-01-06,2025-01-06T09:45:00.000000,1000018.4031957386,-19.48789657133395,-11.987896571333952,-75.0,67.5,-7.5,987980.205373926,0.0,0.0,0.0,0.0,AG2502.SHF,-11.987896571333952,8364.282380453462,AG2502C7700.SHF,-75.0,1657.5,AG2502P7700.SHF,67.5,2040.0,-7.5,3697.5,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-01-06,2025-01-06T10:00:00.000000,1000040.6458728296,22.24267709102952,-15.257322908970485,-97.5,135.0,37.5,988002.448051017,0.0,0.0,0.0,0.0,AG2502.SHF,-15.257322908970485,8349.025057544492,AG2502C7700.SHF,-97.5,1560.0,AG2502P7700.SHF,135.0,2175.0,37.5,3735.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-01-06,2025-01-06T10:15:00.000000,1000038.7235781802,-1.9222946494538746,13.077705350546129,75.0,-90.0,-15.0,988000.5257563676,0.0,0.0,0.0,0.0,AG2502.SHF,13.077705350546129,8362.102762895038,AG2502C7700.SHF,75.0,1635.0,AG2502P7700.SHF,-90.0,2085.0,-15.0,3720.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-01-06,2025-01-06T10:45:00.000000,1000019.4930045179,-19.23057366236347,3.2694263376365322,30.0,-52.5,-22.5,987981.2951827053,0.0,0.0,0.0,0.0,AG2502.SHF,3.2694263376365322,8365.372189232674,AG2502C7700.SHF,30.0,1665.0,AG2502P7700.SHF,-52.5,2032.5,-22.5,3697.5,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-01-06,2025-01-06T11:00:00.000000,1000016.3522396347,-3.1407648831512915,4.35923511684871,37.5,-45.0,-7.5,987978.1544178221,0.0,0.0,0.0,0.0,AG2502.SHF,4.35923511684871,8369.731424349524,AG2502C7700.SHF,37.5,1702.5,AG2502P7700.SHF,-45.0,1987.5,-7.5,3690.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-01-06,2025-01-06T11:15:00.000000,1000060.2624308555,43.91019122078782,-1.0898087792121776,7.5,37.5,45.0,988022.064609043,0.0,0.0,0.0,0.0,AG2502.SHF,-1.0898087792121776,8368.641615570312,AG2502C7700.SHF,7.5,1710.0,AG2502P7700.SHF,37.5,2025.0,45.0,3735.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-01-06,2025-01-06T11:30:00.000000,1000029.0439606218,-31.218470233697417,-8.71847023369742,-60.0,37.5,-22.5,987990.8461388092,0.0,0.0,0.0,0.0,AG2502.SHF,-8.71847023369742,8359.923145336614,AG2502C7700.SHF,-60.0,1650.0,AG2502P7700.SHF,37.5,2062.5,-22.5,3712.5,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-01-06,2025-01-06T13:45:00.000000,1000083.5267724146,54.482811792784105,-73.0171882072159,-450.0,577.5,127.5,988045.328950602,0.0,0.0,0.0,0.0,AG2502.SHF,-73.0171882072159,8286.905957129396,AG2502C7700.SHF,-450.0,1200.0,AG2502P7700.SHF,577.5,2640.0,127.5,3840.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
