trade_date,bar_ts,future_ts_code,future_close,future_per_unit,call_ts_code,call_close,put_ts_code,put_close,option_per_unit,rate,ttm,iv_call_used,iv_put_used,delta_call,delta_put,combo_delta,target_future_position,gamma_call,gamma_put,vega_call,vega_put,theta_call,theta_put
2025-01-06,2025-01-06T15:00:00.000000,AG2502.SHF,7611.0,15.0,AG2502C7600.SHF,141.5,AG2502P7600.SHF,119.0,15.0,0.00016394263959390866,0.0410958904109589,0.2,0.2,0.6389276219440856,-0.3610723780558941,0.2778552438881915,-0.2778552438881915,-8.183223336851519e-15,1.9254643145532988e-15,5.858984284141639,5.858984284161534,-5.804113174051054,-5.799168904003295
2025-01-07,2025-01-07T15:00:00.000000,AG2502.SHF,7733.0,15.0,AG2502C7600.SHF,209.0,AG2502P7600.SHF,77.5,15.0,0.0001616,0.038356164383561646,0.22097764238715167,0.20230160176753997,0.7191942539018303,-0.2814198268248788,0.4377744270769515,-0.4377744270769515,-1.0827694493709847e-14,3.7661546065077726e-15,5.14952318470791,5.149645210157034,-6.0505229608099,-5.534778239261904
2025-01-08,2025-01-08T15:00:00.000000,AG2502.SHF,7740.0,15.0,AG2502C7600.SHF,216.5,AG2502P7600.SHF,77.0,15.0,0.000164,0.03561643835616438,0.2201222333312034,0.2228468981385231,0.7188999211187972,-0.2810137099772475,0.4378862111415497,-0.4378862111415497,-8.47384786464249e-15,4.707693258134716e-15,4.962287878022662,4.962270355800831,-6.2682544021744775,-6.340821026418041
2025-01-09,2025-01-09T15:00:00.000000,AG2502.SHF,7757.0,15.0,AG2502C7600.SHF,223.5,AG2502P7600.SHF,69.0,15.0,0.00016662857142857142,0.03287671232876712,0.23395950600504875,0.23495401874184607,0.6392662155438888,-0.3607001331669402,0.27856608237694863,-0.27856608237694863,-1.3844068996447143e-14,1.1457160548783842e-14,5.251225757602943,5.251217543525825,-7.65616601391261,-7.683657585404703
2025-01-10,2025-01-10T15:00:00.000000,AG2502.SHF,7804.0,15.0,AG2502C7600.SHF,255.5,AG2502P7600.SHF,52.5,15.0,0.00017485714285714286,0.030136986301369864,0.23447568118572232,0.23981120139360423,0.7187545603880079,-0.2810897597466732,0.4376648006413347,-0.4376648006413347,-1.2609951130396722e-14,5.954699144909562e-15,4.573747299541382,4.573718034134911,-6.952488472764713,-7.430790982294802
2025-01-13,2025-01-13T15:00:00.000000,AG2502.SHF,7769.0,15.0,AG2502C7600.SHF,221.5,AG2502P7600.SHF,50.5,15.0,0.00019537142857142857,0.021917808219178082,0.2409787115454673,0.2432522308826446,0.7882304418099007,-0.21172102262235992,0.5765094191875407,-0.5765094191875407,-2.0087664456072615e-14,6.189803582394469e-15,3.3561802285023488,3.3561758956133487,-7.691382817325604,-7.7579909074419575
2025-01-14,2025-01-14T15:00:00.000000,AG2502.SHF,7595.0,15.0,AG2502C7600.SHF,95.5,AG2502P7600.SHF,99.5,15.0,0.0002162,0.019178082191780823,0.259884061217308,0.254829832315445,0.6380527576988895,-0.3620779595348325,0.27597479816405696,-0.27597479816405696,-1.497296893238142e-14,5.0714894770969335e-15,3.999304278090199,3.999324137962411,-11.379591821612962,-11.151900016983163
2025-01-15,2025-01-15T15:00:00.000000,AG2502.SHF,7674.0,15.0,AG2502C7600.SHF,130.5,AG2502P7600.SHF,58.5,15.0,0.00020695000000000002,0.01643835616438356,0.23364936202764508,0.2313345059752464,0.4942990022065585,-0.5057595820088101,-0.011460579802251625,0.011460579802251625,0.008622293263819632,0.008622312332812791,3.8742661073900173,3.8742747620559506,-11.68280318072162,-11.56086885894787
2025-01-16,2025-01-16T15:00:00.000000,AG2503.SHF,7858.0,15.0,AG2503C7900.SHF,196.0,AG2503P7900.SHF,242.0,15.0,0.00016800123287671233,0.10684931506849316,0.2,0.2,0.38131363313309974,-0.6186863668668985,-0.23737273373379875,0.23737273373379875,-5.2484774041387604e-15,7.634148951474561e-15,9.651376741076271,9.651376741070234,-3.6201848322568537,-3.6149182196683682
2025-01-17,2025-01-17T15:00:00.000000,AG2503.SHF,7821.0,15.0,AG2503C7900.SHF,200.5,AG2503P7900.SHF,250.0,15.0,0.00016866287671232874,0.10410958904109589,0.2100164146721363,0.21406254962086677,0.46913715963647784,-0.5306043466231941,-0.06146718698671627,0.06146718698671627,-2.3025933703306167e-15,9.67089215538859e-15,10.103360408096682,10.103124677441766,-4.085606970539828,-4.158892516137541
2025-01-20,2025-01-20T15:00:00.000000,AG2503.SHF,7758.0,15.0,AG2503C7900.SHF,144.5,AG2503P7900.SHF,310.0,15.0,0.00016920856164383562,0.0958904109589041,0.23445391565561297,0.20532680287957186,0.47008806309619156,-0.5316986304923891,-0.061610567396197524,0.061610567396197524,-1.0269508580569228e-14,1.4937467026282513e-14,9.662936091134515,9.664561537862934,-4.739521963042847,-4.146326445036067
2025-01-21,2025-01-21T15:00:00.000000,AG2503.SHF,7773.0,15.0,AG2503C7900.SHF,147.0,AG2503P7900.SHF,273.5,15.0,0.00017014993150684933,0.09315068493150686,0.2146497741341591,0.24042899847030635,0.3813272947190883,-0.6171777923456033,-0.235850497626515,0.235850497626515,-6.214012766690009e-15,9.560019641061552e-15,9.007315095897022,9.005900535354716,-4.164911962574266,-4.658913187780513
2025-01-22,2025-01-22T15:00:00.000000,AG2503.SHF,7800.0,15.0,AG2503C7900.SHF,162.0,AG2503P7900.SHF,263.0,15.0,0.00017016178082191784,0.09041095890410959,0.21422115035355088,0.21380670085549353,0.38111596518699864,-0.6189076742726669,-0.23779170908566827,0.23779170908566827,-5.193156092635395e-15,4.721050993304905e-15,8.901412734825298,8.901432776963098,-4.2337641181735535,-4.220251028813152
2025-01-23,2025-01-23T15:00:00.000000,AG2503.SHF,7713.0,15.0,AG2503C7900.SHF,119.0,AG2503P7900.SHF,298.0,15.0,0.00017037397260273972,0.08767123287671233,0.2210944171249866,0.22228981621563432,0.4686661260935067,-0.5312637594737488,-0.0625976333802421,0.0625976333802421,-5.614494209419946e-15,2.807247104709973e-15,9.235468830706408,9.235409291569141,-4.6768684801022005,-4.696774703478297
2025-01-24,2025-01-24T15:00:00.000000,AG2503.SHF,7769.0,15.0,AG2503C7900.SHF,127.5,AG2503P7900.SHF,265.5,15.0,0.0001704923287671233,0.08493150684931507,0.2149564635008574,0.20593815036118024,0.29910909524833984,-0.7013447750386532,-0.4022356797903134,0.4022356797903134,-6.54435228344083e-15,8.725803044587773e-15,7.754918732868626,7.755306478826652,-3.942501588750659,-3.7719673367874975
2025-01-27,2025-01-27T15:00:00.000000,AG2503.SHF,7677.0,15.0,AG2503C7900.SHF,102.0,AG2503P7900.SHF,326.5,15.0,0.00017526649746192892,0.07671232876712329,0.2035318286716938,0.211772231683135,0.37958006141952816,-0.6199877467819187,-0.24040768536239054,0.24040768536239054,-8.447734327424897e-15,5.162504311204103e-15,8.212517019151475,8.21221093254315,-4.382828343847748,-4.554549741455105
2025-02-05,2025-02-05T15:00:00.000000,AG2503.SHF,8091.0,15.0,AG2503C7900.SHF,285.0,AG2503P7900.SHF,86.5,15.0,0.00018915939086294417,0.052054794520547946,0.22520697548985477,0.22738352850079538,0.6409707358131823,-0.35893686971024785,0.28203386610293446,-0.28203386610293446,-7.437535178421065e-15,4.593771727848305e-15,6.884395433451084,6.884359782047397,-6.030619119477876,-6.082896922735827
2025-02-06,2025-02-06T15:00:00.000000,AG2503.SHF,8028.0,15.0,AG2503C7900.SHF,230.0,AG2503P7900.SHF,103.0,15.0,0.00018184263959390864,0.049315068493150684,0.2382453138381243,0.2267845909297466,0.7208283940362596,-0.27959783992874954,0.4412305541075101,-0.4412305541075101,-2.599792266687464e-15,6.0661819556040836e-15,6.07712021070368,6.077263545621384,-5.95130051409609,-5.659677194877645
2025-02-07,2025-02-07T15:00:00.000000,AG2503.SHF,8043.0,15.0,AG2503C7900.SHF,238.0,AG2503P7900.SHF,92.5,15.0,0.0001776918781725888,0.04657534246575343,0.22297245025634763,0.22457366973161696,0.6403517704352837,-0.3595838768342721,0.28076789360101156,-0.28076789360101156,-9.733428042459502e-15,1.9909284632303527e-15,6.494200024996071,6.49417768830556,-6.309446094500203,-6.349135075514127
2025-02-10,2025-02-10T15:00:00.000000,AG2503.SHF,8048.0,15.0,AG2503C7900.SHF,236.5,AG2503P7900.SHF,87.5,15.0,0.00018020000000000002,0.038356164383561646,0.226968352496624,0.22322589710354804,0.6396571378309251,-0.36047945740432163,0.2791776804266035,-0.2791776804266035,-3.950251092924203e-15,6.3642934274889935e-15,5.905332663504124,5.905369408115424,-7.12642709183217,-7.003389311965535
2025-02-11,2025-02-11T15:00:00.000000,AG2503.SHF,7962.0,15.0,AG2503C7900.SHF,181.0,AG2503P7900.SHF,98.0,15.0,0.0001951142857142857,0.03561643835616438,0.24215556249022482,0.2405546988546848,0.7196065525195072,-0.28044413682226305,0.4391624156972442,-0.4391624156972442,-1.1730909223031144e-14,3.4758249549721907e-15,5.161515968887938,5.1615281297231626,-7.172826386912533,-7.119342443407753
2025-02-12,2025-02-12T15:00:00.000000,AG2503.SHF,7953.0,15.0,AG2503C7900.SHF,160.0,AG2503P7900.SHF,109.5,15.0,0.0001862142857142857,0.03287671232876712,0.24733217060565943,0.2121358850598335,0.5534237513939851,-0.44783301590918057,0.10559073548480458,-0.10559073548480458,-9.94822485793207e-15,1.2887473111412e-14,5.705268011331554,5.705628686677141,-8.792997123393775,-7.536803024046037
2025-02-13,2025-02-13T15:00:00.000000,AG2503.SHF,8019.0,15.0,AG2503C7900.SHF,195.0,AG2503P7900.SHF,80.0,15.0,0.00017927142857142856,0.030136986301369864,0.22940973922610278,0.23386933028697965,0.5524276834323874,-0.4474197768338401,0.10500790659854725,-0.10500790659854725,-3.1573741281535223e-15,1.3080549959493163e-14,5.466086317488621,5.466046584489894,-8.550222634261047,-8.710689793837957
2025-02-14,2025-02-14T15:00:00.000000,AG2503.SHF,8246.0,15.0,AG2503C7900.SHF,382.0,AG2503P7900.SHF,38.0,15.0,0.0001926142857142857,0.0273972602739726,0.22931446313858028,0.2370505967736244,0.6384312690601954,-0.3613298516849624,0.27710141737523303,-0.27710141737523303,-5.74583460358579e-15,1.0165707375574858e-14,4.982611741870886,4.98256585877004,-8.602247654098761,-8.886174946920406
2025-02-17,2025-02-17T15:00:00.000000,AG2503.SHF,8006.0,15.0,AG2503C7900.SHF,163.5,AG2503P7900.SHF,62.5,15.0,0.0001999,0.019178082191780823,0.28064286142587663,0.2869876617193221,0.8943575675213299,-0.10556248555981136,0.7887950819615185,-0.7887950819615185,-1.4108737334228854e-14,-5.1870357846429615e-16,2.097963683908003,2.0979572143664136,-6.431720562673775,-6.589136031296588
2025-02-18,2025-02-18T15:00:00.000000,AG2503.SHF,8064.0,15.0,AG2503C7900.SHF,193.5,AG2503P7900.SHF,36.5,15.0,0.00021630000000000003,0.01643835616438356,0.23179383575916285,0.24386964246630663,0.7033663422154598,-0.32405100985167457,0.37931533236378523,-0.37931533236378523,0.0033762604105390852,0.009682923887759326,3.4904446875759807,3.857837125932277,-10.443724215100758,-11.000038406838684
2025-02-19,2025-02-19T15:00:00.000000,AG2504.SHF,8132.0,15.0,AG2504C8100.SHF,257.5,AG2504P8100.SHF,229.0,15.0,0.00017700117808219177,0.09315068493150686,0.2,0.2,0.4678005876302098,-0.5321994123698007,-0.06439882473959091,0.06439882473959091,-3.0405949110504226e-15,6.515560523679477e-15,9.820457474572608,9.820457474566213,-4.231850699831654,-4.226161467997656
2025-02-20,2025-02-20T15:00:00.000000,AG2504.SHF,8147.0,15.0,AG2504C8100.SHF,270.0,AG2504P8100.SHF,223.0,15.0,0.00017780934246575345,0.09041095890410959,0.24369262702763073,0.2473837673664093,0.55908823142289,-0.4406934360429581,0.11839479537993192,-0.11839479537993192,-8.15796647470026e-15,3.864299909068545e-15,9.700806234079069,9.700610001114583,-5.249188780874277,-5.322828683530702
2025-02-21,2025-02-21T15:00:00.000000,AG2504.SHF,8102.0,15.0,AG2504C8100.SHF,239.0,AG2504P8100.SHF,230.5,15.0,0.00017871093150684933,0.08767123287671233,0.2515936182439328,0.25172775499522687,0.5593261940365637,-0.44066599124244454,0.11866020279411915,-0.11866020279411915,-1.194286803373017e-14,5.544903015660436e-15,9.568216003209622,9.568209064803693,-5.514275598697793,-5.5114656405244205
