bar_ts,trade_date,nav,capital_used,capital_usage,return_rate,future_close,iv_avg,pnl_future,pnl_option,pnl_total,name
2025-01-06T15:00:00.000000,2025-01-06,999982.1871641079,4757.7257676155305,0.004757810517713488,0.0,7611.0,0.4,0.0,0.0,0.0,open
2025-01-07T15:00:00.000000,2025-01-07,999854.4380824568,7616.185005648616,0.007617293793539694,-0.00012775135726506015,7733.0,0.42327924415469165,-508.47509631539043,390.0,-118.47509631539043,mtm
2025-01-08T15:00:00.000000,2025-01-08,999913.4652791977,7625.025788193384,0.007625685674774177,-0.00006872310906369528,7740.0,0.4429691314697265,-554.4414111584704,495.0,-59.441411158470345,mtm
2025-01-09T15:00:00.000000,2025-01-09,999777.5345216807,4862.369665593203,0.004863451615683168,-0.00020465628793608914,7757.0,0.46891352474689485,-666.1023949995655,480.0,-186.1023949995655,mtm
2025-01-10T15:00:00.000000,2025-01-10,999804.3343168297,7684.18773883775,0.007685691564928438,-0.0001778560153982145,7804.0,0.47428688257932655,-862.4914830753142,712.5,-149.99148307531425,mtm
2025-01-13T15:00:00.000000,2025-01-13,999486.0190173681,10076.521021875533,0.010081702825400335,-0.0004961769850589937,7769.0,0.48423094242811193,-632.7174627386136,172.5,-460.21746273861356,mtm
2025-01-14T15:00:00.000000,2025-01-14,999818.5876861772,4716.535938559241,0.004717391731508463,-0.00016360239215318373,7595.0,0.514713893532753,871.9721213408678,-982.5,-110.52787865913217,mtm
2025-01-15T15:00:00.000000,2025-01-15,999385.0125528397,197.90388956569322,0.00019802567286872295,-0.0005971852488310114,7674.0,0.4649838680028915,544.9419855164604,-1072.5,-527.5580144835396,mtm
2025-01-16T15:00:00.000000,2025-01-16,1000565.3153483372,4197.288305642306,0.004194916854759313,0.0005831385715808768,7858.0,0.4,544.9419855164604,-1072.5,-527.5580144835396,open
2025-01-17T15:00:00.000000,2025-01-17,1000610.7563333246,1081.5452908563727,0.001080885133415543,0.0006285803660155409,7821.0,0.42407896429300307,413.20011829420207,-885.0,-471.79988170579793,mtm
2025-01-20T15:00:00.000000,2025-01-20,1000612.6614981988,1075.5508035102444,0.0010748922584088055,0.0006304855648266994,7758.0,0.43978071853518486,355.1136265917552,-825.0,-469.8863734082448,mtm
2025-01-21T15:00:00.000000,2025-01-21,1000106.3651077551,4125.260800446089,0.004124822063302855,0.00012418015564796825,7773.0,0.45507877260446544,368.9760042558996,-1335.0,-966.0239957441004,mtm
2025-01-22T15:00:00.000000,2025-01-22,1000269.2709870674,4173.661818902923,0.004172538275402929,0.0002870889368276064,7800.0,0.4280278512090444,464.4954557946382,-1267.5,-803.0045442053618,mtm
2025-01-23T15:00:00.000000,2025-01-23,999828.8192808701,1086.2263455911575,0.0010864123184330984,-0.00015337061520337425,7713.0,0.44338423334062094,154.1772754378411,-1387.5,-1233.3227245621588,mtm
2025-01-24T15:00:00.000000,2025-01-24,999501.6094540544,7031.883359678791,0.007035389731407968,-0.00048058627065783455,7769.0,0.42089461386203764,206.75928747724447,-1747.5,-1540.7407125227555,mtm
2025-01-27T15:00:00.000000,2025-01-27,999469.7074963597,4152.206788980794,0.004154409841376726,-0.0005124887966270197,7677.0,0.4153040603548288,-348.32595063338806,-1215.0,-1563.325950633388,mtm
2025-02-05T15:00:00.000000,2025-02-05,1000075.9393333193,5133.842588335003,0.005133452757354983,0.00009375383923315717,8091.0,0.45259050399065015,1144.6057754670574,-2070.0,-925.3942245329426,mtm
2025-02-06T15:00:00.000000,2025-02-06,999755.3770627251,7969.15050409407,0.007971100418091657,-0.00022681414158587376,8028.0,0.46502990476787087,1411.1277789343303,-2647.5,-1236.3722210656697,mtm
2025-02-07T15:00:00.000000,2025-02-07,999608.9197112616,5081.4944771619585,0.005083482526976405,-0.0003732741019165653,8043.0,0.44754611998796456,1311.8509042601406,-2685.0,-1373.1490957398594,mtm
2025-02-10T15:00:00.000000,2025-02-10,999490.2661243759,5055.854972108654,0.005058433426983977,-0.0004919298023968732,8048.0,0.45019424960017207,1290.7933122400648,-2782.5,-1491.7066877599352,mtm
2025-02-11T15:00:00.000000,2025-02-11,999165.8527990084,7866.588358498679,0.007873155729313257,-0.0008163489065886598,7962.0,0.48271026134490963,1650.9325199903833,-3457.5,-1806.5674800096167,mtm
2025-02-12T15:00:00.000000,2025-02-12,999062.7410186604,1889.6559651508092,0.0018914287237096698,-0.0009194625236825793,7953.0,0.4594680556654929,1710.2194461095112,-3600.0,-1889.7805538904888,mtm
2025-02-13T15:00:00.000000,2025-02-13,999040.6711342388,1894.8208699216163,0.0018966403717782312,-0.0009415328012383206,8019.0,0.4632790695130824,1605.6846179795546,-3517.5,-1911.8153820204452,mtm
2025-02-14T15:00:00.000000,2025-02-14,1000847.4771534092,5140.687027156659,0.005136334101353485,0.0008653054028444629,8246.0,0.46636505991220467,1248.1326960115011,-1342.5,-94.36730398849886,mtm
2025-02-17T15:00:00.000000,2025-02-17,998904.3206823345,14207.539312892923,0.014223123294919773,-0.0010778856819742,8006.0,0.5676305231451988,2245.69779856234,-4252.5,-2006.8022014376602,mtm
2025-02-18T15:00:00.000000,2025-02-18,998253.3011492387,6882.9856201475595,0.006895029159656697,-0.0017289168117805565,8064.0,0.4756634782254695,1559.4460772558186,-4192.5,-2633.0539227441814,mtm
2025-02-19T15:00:00.000000,2025-02-19,998301.6583045974,1178.4231267899208,0.001180427896705312,-0.0016805587950284862,8132.0,0.4,1559.4460772558186,-4192.5,-2633.0539227441814,open
2025-02-20T15:00:00.000000,2025-02-20,998402.4800099052,2170.0483688711456,0.002173520611496895,-0.001579735293768203,8147.0,0.49107639439404005,1573.9358128222266,-4095.0,-2521.0641871777734,mtm
2025-02-21T15:00:00.000000,2025-02-21,998129.8803709178,2162.8998552187113,0.0021669523152787994,-0.0018523397886146542,8102.0,0.5033213732391597,1653.8522997036807,-4447.5,-2793.6477002963193,mtm
2025-02-24T15:00:00.000000,2025-02-24,997608.4005103271,294.1945696933864,0.0002948998520290036,-0.0023738289384060973,8087.0,0.4920964089781046,1680.5508453323575,-4987.5,-3306.9491546676427,mtm
2025-02-25T15:00:00.000000,2025-02-25,996808.6415353026,1126.8314241467497,0.001130439060411017,-0.003173602159659672,8017.0,0.47662325210869305,1663.5758148534285,-5767.5,-4103.924185146571,mtm
2025-02-26T15:00:00.000000,2025-02-26,996759.713862989,4276.940531963763,0.004290844094599569,-0.0032225307035295137,7904.0,0.42155778050422665,1557.70144870925,-5700.0,-4142.29855129075,mtm
2025-02-27T15:00:00.000000,2025-02-27,996737.7165942279,4295.502384035373,0.004309561394659326,-0.0032445283641312495,7900.0,0.40647650696337223,1543.2732676003575,-5707.5,-4164.226732399642,mtm
2025-02-28T15:00:00.000000,2025-02-28,996567.3549599521,4272.506714093851,0.004287223229648683,-0.0034148930330849536,7853.0,0.4117190788686276,1372.9201661597315,-5707.5,-4334.579833840268,mtm
2025-03-03T15:00:00.000000,2025-03-03,996293.2156995335,9790.862733845834,0.009827290379540842,-0.003689037176788257,7890.0,0.3932574020326137,1507.1083250181719,-6097.5,-4590.391674981828,mtm
2025-03-04T15:00:00.000000,2025-03-04,996259.4631834825,4356.245995437031,0.0043726018737296896,-0.00372279029407796,7938.0,0.40283737853169443,1904.1631790803785,-6510.0,-4605.8368209196215,mtm
2025-03-05T15:00:00.000000,2025-03-05,996221.2106695824,4395.960665621043,0.004412635083995471,-0.0037610434893760036,7987.0,0.3979300224781036,2083.4504903397774,-6727.5,-4644.049509660223,mtm
2025-03-06T15:00:00.000000,2025-03-06,996378.2318367055,2643.0121005321776,0.0026526192725628873,-0.003604019525210722,8058.0,0.4041932465136051,2343.9421217902077,-6825.0,-4481.057878209793,mtm
2025-03-07T15:00:00.000000,2025-03-07,996219.2607002814,3270.9745136552765,0.0032833881482636474,-0.0037629934934121367,8048.0,0.41920530922710886,2322.073366696512,-6960.0,-4637.926633303488,mtm
2025-03-10T15:00:00.000000,2025-03-10,995899.6397169357,4412.802193649314,0.004430970770210906,-0.004082620170215323,8056.0,0.4170890265703201,2343.74763739837,-7297.5,-4953.75236260163,mtm
2025-03-11T15:00:00.000000,2025-03-11,995437.9928544112,1300.0878402394103,0.0013060460315678908,-0.004544275256125996,7994.0,0.4232037468254566,2117.3603654947615,-7522.5,-5405.139634505239,mtm
2025-03-12T15:00:00.000000,2025-03-12,995415.9060595352,1486.8914177888526,0.0014937388570320097,-0.004566362444437533,8071.0,0.39704700618982314,2200.8536315909773,-7627.5,-5426.646368409023,mtm
2025-03-13T15:00:00.000000,2025-03-13,995028.244396376,1905.813139925223,0.0019153357210290704,-0.004954031013073346,8131.0,0.4201052130758762,2274.536830377472,-8077.5,-5802.963169622528,mtm
2025-03-14T15:00:00.000000,2025-03-14,996518.3830292454,1924.0361030085862,0.0019307582637460691,-0.003463865836136115,8358.0,0.38405203580856323,1919.7933801680429,-6232.5,-4312.706619831957,mtm
2025-03-17T15:00:00.000000,2025-03-17,996068.2103481184,13018.567764070323,0.013069956082144646,-0.003914046536258042,8334.0,0.4860469111800193,1956.6221663587435,-6682.5,-4725.877833641256,mtm
2025-03-18T15:00:00.000000,2025-03-18,995774.7737275542,8757.484678568671,0.008794644039621689,-0.0042074883838537636,8350.0,0.5249468359351159,1789.9811648254847,-6795.0,-5005.018835174515,mtm
2025-03-19T15:00:00.000000,2025-03-19,995580.7407709789,13887.56358543944,0.013949208754967373,-0.004401524796767919,8356.0,0.511282471716404,1748.0333371959427,-6930.0,-5181.966662804057,mtm
2025-03-20T15:00:00.000000,2025-03-20,995236.6131573737,2136.162735370153,0.0021463868060412365,-0.004745658540370901,8347.0,0.4,1748.0333371959427,-6930.0,-5181.966662804057,open
2025-03-21T15:00:00.000000,2025-03-21,994962.5270100792,1149.1273139112018,0.00115494531976435,-0.005019749570003951,8198.0,0.4345144091546535,2002.2724487155392,-7447.5,-5445.227551284461,mtm
2025-03-24T15:00:00.000000,2025-03-24,994555.8020305815,4445.75095237919,0.004470086990898161,-0.005426481794556071,8240.0,0.4055151318013668,2041.516590646203,-7882.5,-5840.9834093537975,mtm
2025-03-25T15:00:00.000000,2025-03-25,994110.3881338495,1320.6928714841054,0.0013285173228732865,-0.005871903625514041,8240.0,0.3972207152843475,2041.516590646203,-8317.5,-6275.9834093537975,mtm
2025-03-26T15:00:00.000000,2025-03-26,994434.2882165993,397.25221738654864,0.0003994755833479693,-0.005547997773082458,8352.0,0.3730190767347812,2161.2029942430513,-8107.5,-5946.297005756949,mtm
2025-03-27T15:00:00.000000,2025-03-27,993931.7699344209,2082.2004908836775,0.002094912904354652,-0.006050525006695895,8358.0,0.39258335262537003,2159.3002550352867,-8602.5,-6443.199744964713,mtm
2025-03-28T15:00:00.000000,2025-03-28,994633.3614568952,5377.184903973705,0.005406198014610571,-0.005348920986664396,8498.0,0.36282149590551843,1926.758799786057,-7657.5,-5730.741200213943,mtm
2025-03-31T15:00:00.000000,2025-03-31,994543.0302111146,7726.558638182524,0.007768953583177175,-0.0054392538415293235,8498.0,0.4039230010658502,1926.758799786057,-7740.0,-5813.241200213943,mtm
2025-04-01T15:00:00.000000,2025-04-01,994781.7560854916,5352.764876897342,0.00538084343038286,-0.005200523714691707,8419.0,0.42167446628212923,2405.662995545257,-7972.5,-5566.837004454742,mtm
2025-04-02T15:00:00.000000,2025-04-02,994560.6176666064,5338.912698554604,0.005368111911650515,-0.005421666072749409,8388.0,0.439387159794569,2537.0476566466473,-8325.0,-5787.952343353352,mtm
2025-04-03T15:00:00.000000,2025-04-03,994305.3909113894,5254.223180525215,0.00528431529040504,-0.005676897374359835,8282.0,0.42802061580121514,2986.8818198807962,-9030.0,-6043.118180119203,mtm
2025-04-07T15:00:00.000000,2025-04-07,1004044.6717227967,16783.411566329138,0.01671580163612761,0.004062556924348648,7606.0,0.38934322431683543,5845.691865814177,-2077.5,3768.1918658141767,mtm
2025-04-08T15:00:00.000000,2025-04-08,1003302.975801252,12390.15621136091,0.012349366552477288,0.003320847790860837,7680.0,0.715375000834465,6934.173127170341,-3892.5,3041.673127170341,mtm
2025-04-09T15:00:00.000000,2025-04-09,1003640.9231969031,14920.338566562077,0.01486621183105631,0.003658801206420703,7754.0,0.4990491762757301,7730.148175752202,-4342.5,3387.6481757522024,mtm
2025-04-10T15:00:00.000000,2025-04-10,1003553.4361992279,12910.407165820983,0.012864693298960492,0.003571312650326286,7970.0,0.6319535656273365,10500.736158977274,-7192.5,3308.236158977274,mtm
2025-04-11T15:00:00.000000,2025-04-11,1003811.6621724258,12070.47407130463,0.012024640205097829,0.003829543223342835,7965.0,0.5228414212167263,10446.734911233005,-6877.5,3569.2349112330057,mtm
2025-04-14T15:00:00.000000,2025-04-14,1003981.7355000885,10032.517495783679,0.00999272909161682,0.003999619580547842,8085.0,0.5829585863649844,11659.207603203231,-7912.5,3746.707603203233,mtm
2025-04-15T15:00:00.000000,2025-04-15,1003216.070821662,7410.122836244443,0.007386367754431351,0.0032339412632191866,8154.0,0.6312899838387965,12230.06964278511,-9240.0,2990.069642785112,mtm
2025-04-16T15:00:00.000000,2025-04-16,1003186.6844532422,5466.643787149991,0.005449278655576879,0.0032045543713354885,8227.0,0.5263248845934867,12672.382672261425,-9705.0,2967.382672261426,mtm
2025-04-17T15:00:00.000000,2025-04-17,1002828.6106177226,1362.3392685713031,0.0013584966106343227,0.0028464741573916985,8156.0,0.5301719272136688,12357.832592491364,-9735.0,2622.832592491365,mtm
2025-04-18T15:00:00.000000,2025-04-18,1002257.9403162572,7555.263900691492,0.007538242997912762,0.0022757936904889142,8147.0,0.5167498898506164,12347.809476874962,-10275.0,2072.8094768749634,mtm
2025-04-21T15:00:00.000000,2025-04-21,1002210.4551368734,1188.4602988505026,0.00118583905482027,0.002228307665244289,8247.0,0.4,12347.809476874962,-10275.0,2072.8094768749634,open
2025-04-22T15:00:00.000000,2025-04-22,1002518.8406583495,2268.9457605497346,0.0022632450070062806,0.002536698680038807,8174.0,0.5667863526940344,12277.68383367267,-9885.0,2392.6838336726723,mtm
