trade_date,bar_ts,nav,margin_by_future,cash,pnl,pnl_future,pnl_call,pnl_put,pnl_option,cash_future,cash_call,cash_put,cash_option,nav_future,nav_call,nav_put,nav_option,capital_used,capital_future,capital_call,capital_put,capital_option,future_ts_code,call_ts_code,put_ts_code,fee,fee_future,fee_call,fee_put,fee_option,slippage,name
2025-01-06,2025-01-06T09:15:00.000000,999993.9809010891,1256.729673271888,995077.2512278171,0.0,0.0,0.0,0.0,0.0,-1260.9187721827943,-1725.8625,-1935.9675,-3661.8300000000004,-4.189098910906294,-0.8625,-0.9675,-1.83,4916.729673271888,1256.729673271888,1725.0,1935.0,3660.0,AG2502.SHF,AG2502C7700.SHF,AG2502P7700.SHF,6.019098910906294,4.189098910906294,0.8625,0.9675,1.83,0.8377360085799932,open
2025-01-06,2025-01-06T09:30:00.000000,1000037.89109231,1256.3148974995363,995076.5761948103,43.91019122078782,-1.0898087792121776,7.5,37.5,45.0,-0.6750330068605388,0.0,0.0,0.0,-1.0898087792122704,7.5,37.5,45.0,,1256.3148974995363,1732.5,1972.5,3705.0,AG2502.SHF,AG2502C7700.SHF,AG2502P7700.SHF,9.278898924214296e-14,9.278898924214296e-14,0.0,0.0,0.0,1.855965381381802e-14,mtm
2025-01-06,2025-01-06T09:45:00.000000,1000018.4031957387,1254.6423570679915,995066.2608386705,-19.487896571333692,-11.987896571333687,-75.0,67.5,-7.5,-10.315356139788884,0.0,0.0,0.0,-11.987896571333687,-75.0,67.5,-7.5,,1254.6423570679915,1657.5,2040.0,3697.5,AG2502.SHF,AG2502C7700.SHF,AG2502P7700.SHF,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-01-06,2025-01-06T10:00:00.000000,1000040.6458728297,1252.2285232557551,995053.4173495738,22.242677091029847,-15.257322908970147,-97.5,135.0,37.5,-12.843489096733878,0.0,0.0,0.0,-15.25732290897024,-97.5,135.0,37.5,,1252.2285232557551,1560.0,2175.0,3735.0,AG2502.SHF,AG2502C7700.SHF,AG2502P7700.SHF,9.248717754151148e-14,9.248717754151148e-14,0.0,0.0,0.0,1.849928543684173e-14,mtm
2025-01-06,2025-01-06T10:15:00.000000,1000038.7235781803,1254.4408459757103,995064.2827322044,-1.922294649454443,13.07770535054555,75.0,-90.0,-15.0,10.865382630590144,0.0,0.0,0.0,13.077705350545326,75.0,-90.0,-15.0,,1254.4408459757103,1635.0,2085.0,3720.0,AG2502.SHF,AG2502C7700.SHF,AG2502P7700.SHF,2.2363931997948506e-13,2.2363931997948506e-13,0.0,0.0,0.0,4.4723391656703517e-14,mtm
2025-01-06,2025-01-06T10:45:00.000000,1000019.493004518,1254.931308968243,995067.0616955495,-19.23057366236344,3.2694263376365624,30.0,-52.5,-22.5,2.7789633451022384,0.0,0.0,0.0,3.269426337634923,30.0,-52.5,-22.5,,1254.931308968243,1665.0,2032.5,3697.5,AG2502.SHF,AG2502C7700.SHF,AG2502P7700.SHF,1.6395975322436307e-12,1.6395975322436307e-12,0.0,0.0,0.0,3.2788671777700377e-13,mtm
2025-01-06,2025-01-06T11:00:00.000000,1000016.3522396348,1255.3341676810073,995071.0180719537,-3.1407648831495436,4.359235116850458,37.5,-45.0,-7.5,3.956376404084266,0.0,0.0,0.0,4.359235116848594,37.5,-45.0,-7.5,,1255.3341676810073,1702.5,1987.5,3690.0,AG2502.SHF,AG2502C7700.SHF,AG2502P7700.SHF,1.8639224563798964e-12,1.8639224563798964e-12,0.0,0.0,0.0,3.728217734533387e-13,mtm
2025-01-06,2025-01-06T11:15:00.000000,1000060.2624308557,1255.421771959809,995069.8406588957,43.91019122078787,-1.0898087792121292,7.5,37.5,45.0,-1.1774130580139743,0.0,0.0,0.0,-1.0898087792124105,7.5,37.5,45.0,,1255.421771959809,1710.0,2025.0,3735.0,AG2502.SHF,AG2502C7700.SHF,AG2502P7700.SHF,2.8136641982978715e-13,2.8136641982978715e-13,0.0,0.0,0.0,5.626765720022472e-14,mtm
2025-01-06,2025-01-06T11:30:00.000000,1000029.0439606219,1254.1138706477627,995062.430089974,-31.218470233697616,-8.71847023369762,-60.0,37.5,-22.5,-7.410568921651658,0.0,0.0,0.0,-8.718470233697827,-60.0,37.5,-22.5,,1254.1138706477627,1650.0,2062.5,3712.5,AG2502.SHF,AG2502C7700.SHF,AG2502P7700.SHF,2.0761095405330554e-13,2.0761095405330554e-13,0.0,0.0,0.0,4.151803900676193e-14,mtm
2025-01-06,2025-01-06T13:45:00.000000,1000083.5267724147,1242.9115899797905,995000.6151824347,54.48281179277876,-73.0171882072212,-450.0,577.5,127.5,-61.81490753925016,0.0,0.0,0.0,-73.01718820722238,-450.0,577.5,127.5,,1242.9115899797905,1200.0,2640.0,3840.0,AG2502.SHF,AG2502C7700.SHF,AG2502P7700.SHF,1.1743947029851931e-12,1.1743947029851931e-12,0.0,0.0,0.0,2.3490243084015905e-13,mtm
