bar_ts,trade_date,nav,capital_used,capital_usage,return_rate,name
2025-01-06T09:15:00.000000,2025-01-06,999993.9809010891,1256.729673271888,0.0012567372376976267,0.0,open
2025-01-06T09:30:00.000000,2025-01-06,1000037.89109231,1256.3148974995363,0.0012562672961594515,0.00004391045552210038,mtm
2025-01-06T09:45:00.000000,2025-01-06,1000018.4031957387,1254.6423570679915,0.0012546192680640239,0.00002442244165057339,mtm
2025-01-06T10:00:00.000000,2025-01-06,1000040.6458728297,1252.2285232557551,0.0012521776274031515,0.000046665252623201425,mtm
2025-01-06T10:15:00.000000,2025-01-06,1000038.7235781803,1254.4408459757103,0.0012543922714185192,0.00004474294640344212,mtm
2025-01-06T10:45:00.000000,2025-01-06,1000019.493004518,1254.931308968243,0.0012549068470634037,0.00002551225698965709,mtm
2025-01-06T11:00:00.000000,2025-01-06,1000016.3522396348,1255.3341676810073,0.0012553136404915412,0.00002237147320172106,mtm
2025-01-06T11:15:00.000000,2025-01-06,1000060.2624308557,1255.421771959809,0.001255346121750947,0.00006628192872404348,mtm
2025-01-06T11:30:00.000000,2025-01-06,1000029.0439606219,1254.1138706477627,0.0012540774472717673,0.000035063270582114114,mtm
2025-01-06T13:45:00.000000,2025-01-06,1000083.5267724147,1242.9115899797905,0.0012428077822570066,0.00008954641031411192,mtm
2025-01-06T14:00:00.000000,2025-01-06,1000068.502830657,4234.0406673360685,0.004233750643432697,0.00007452237812533014,mtm
2025-01-06T14:15:00.000000,2025-01-06,1000075.5423521408,4238.749316504246,0.004238429135597961,0.00008156194198094546,mtm
2025-01-06T14:30:00.000000,2025-01-06,1000045.4312107443,2836.118720881459,0.0028359898784276233,0.00005145061934141992,mtm
2025-01-06T14:45:00.000000,2025-01-06,1000033.2359674136,4231.818073809437,0.0042316774299162715,0.00003925530260606713,mtm
2025-01-06T15:00:00.000000,2025-01-06,1000097.2162066717,4229.039831902004,0.004228628740656415,0.00010323592696970252,mtm
2025-01-06T21:00:00.000000,2025-01-06,1001935.6782245733,3323.3875742155174,0.0033169669934346975,0.0019417090108226898,mtm
2025-01-06T21:15:00.000000,2025-01-06,1000708.8654040016,1834.9393364100831,0.0018336395327818846,0.0007148888058987612,mtm
2025-01-06T21:30:00.000000,2025-01-06,1000723.8373422319,1830.4430960963255,0.0018291191113801186,0.0007298608342471979,mtm
2025-01-06T21:45:00.000000,2025-01-06,1000784.1405090886,1815.4080361017234,0.001813985616496924,0.0007901643640768619,mtm
2025-01-06T22:00:00.000000,2025-01-06,1000805.4852732948,1254.2773583117162,0.0012532678694993408,0.0008115092567602122,mtm
2025-01-06T22:15:00.000000,2025-01-06,1000807.6648908532,1254.4788857511683,0.0012534665048633297,0.0008136888874379355,mtm
2025-01-06T22:30:00.000000,2025-01-06,1000863.7521572432,1248.3918024076995,0.0012473144318764057,0.000869776491424723,mtm
2025-01-06T22:45:00.000000,2025-01-06,1000912.0188483156,1864.1722378315853,0.0018624736267794718,0.0009180434730209353,mtm
2025-01-06T23:00:00.000000,2025-01-06,1000803.3526402791,1871.3109080421889,0.0018698087922121482,0.0008093766109078526,mtm
2025-01-06T23:15:00.000000,2025-01-06,1000863.2041521529,1255.1707127109446,0.0012540881785880215,0.0008692284830358332,mtm
2025-01-06T23:30:00.000000,2025-01-06,1000877.5003277371,1258.6915252399351,0.0012575879913653539,0.0008835247446707939,mtm
2025-01-06T23:45:00.000000,2025-01-06,1000879.743001275,281.3038749669881,0.0002810566173748905,0.0008857674317075404,mtm
2025-01-07T00:00:00.000000,2025-01-07,1000874.1360013686,1254.3681777915453,0.0012532726470512272,0.0008801603980519435,mtm
2025-01-07T00:15:00.000000,2025-01-07,1000878.4396499728,915.8699624079686,0.0009150661320352415,0.0008844640725604869,mtm
2025-01-07T00:30:00.000000,2025-01-07,1000857.3595618501,85.10068573988265,0.00008502778635422891,0.0008633838575538011,mtm
2025-01-07T00:45:00.000000,2025-01-07,1000898.2102262764,1285.739568703413,0.001284585740654628,0.0009042347678658302,mtm
2025-01-07T01:00:00.000000,2025-01-07,1000877.2437863447,1826.236192634619,0.0018246355424426676,0.000883268201734122,mtm
2025-01-07T01:15:00.000000,2025-01-07,1000862.531207909,1085.9838142945457,0.00108504792659578,0.0008685555347414109,mtm
2025-01-07T01:30:00.000000,2025-01-07,1000870.3964076351,1824.3397895270032,0.0018227532716273737,0.0008764207818092729,mtm
2025-01-07T01:45:00.000000,2025-01-07,1000823.9225739526,514.9865688669621,0.0005145626091175981,0.0008299466683945322,mtm
2025-01-07T02:00:00.000000,2025-01-07,1000792.7969794101,1254.5312097876188,0.001253537409116094,0.000798820886502849,mtm
2025-01-07T02:15:00.000000,2025-01-07,1000749.2597024902,715.4920837899392,0.0007149563957735485,0.00075528334752617,mtm
2025-01-07T02:30:00.000000,2025-01-07,1000721.6139178553,84.9791922235765,0.0000849179142747606,0.0007276373964875127,mtm
2025-01-07T09:15:00.000000,2025-01-07,1000657.2235900251,1254.2051457952255,0.001253381393975806,0.0006632466810831961,mtm
2025-01-07T09:30:00.000000,2025-01-07,1000693.7442178052,1255.1833377719142,0.001254313165266194,0.0006997675286859462,mtm
2025-01-07T09:45:00.000000,2025-01-07,1000714.0533823386,85.13382033523887,0.00008507307361927508,0.0007200768154629333,mtm
2025-01-07T10:00:00.000000,2025-01-07,1000716.416085441,1825.0509406923588,0.0018237443808821622,0.0007224395327869448,mtm
2025-01-07T10:15:00.000000,2025-01-07,1000696.2817532325,285.116324806159,0.000284917941642225,0.0007023050793870667,mtm
2025-01-07T10:45:00.000000,2025-01-07,1000718.8557141054,85.01828391040041,0.00008495721193314781,0.0007248791761356177,mtm
2025-01-07T11:00:00.000000,2025-01-07,1000731.1874889293,715.4492689532732,0.0007149265236236959,0.0007372110251862019,mtm
