trade_date,bar_ts,nav,margin_by_future,cash,pnl,pnl_future,pnl_call,pnl_put,pnl_option,cash_future,cash_call,cash_put,cash_option,nav_future,nav_call,nav_put,nav_option,capital_used,capital_future,capital_call,capital_put,capital_option,future_ts_code,call_ts_code,put_ts_code,fee,fee_future,fee_call,fee_put,fee_option,slippage,theta_loss,name
2025-01-08,2025-01-08T15:00:00.000000,999991.3711444631,1893.898666472061,993465.7525138863,0.0,0.0,0.0,0.0,0.0,-1900.2116620269678,-2617.1621333112525,-2016.8736907754576,-4634.03582408671,-6.31299555490687,-1.3079271031040742,-1.0079328789482547,-2.315859982052329,6525.618630576719,1893.898666472061,2615.8542062081483,2015.8657578965094,4631.719964104657,AG2502.SHF,AG2502C7700.SHF,AG2502P7700.SHF,8.628855536959199,6.31299555490687,1.3079271031040742,1.0079328789482547,2.315859982052329,1.2627253835202839,0.0,open
2025-01-09,2025-01-09T15:00:00.000000,999690.3916894938,1875.8517740887557,993455.9898402608,-300.9041674100689,-27.734278449399667,-9.08709932610023,-264.082789634569,-273.16988896066925,-9.762673625360911,0.0,0.0,0.0,-27.80956600866616,-9.08709932610023,-264.082789634569,-273.16988896066925,,1875.8517740887557,2606.767106882048,1751.7829682619404,4358.550075143989,AG2502.SHF,AG2502C7700.SHF,AG2502P7700.SHF,0.07528755926649316,0.07528755926649316,0.0,0.0,0.0,0.01505600625267613,-262.5303989690425,mtm
2025-01-10,2025-01-10T15:00:00.000000,999618.894270958,4907.456282256424,990338.551739126,-61.428698380512174,-75.76487281199388,359.6911490734742,-345.3549746419925,14.336174431481709,-3117.438101134864,0.0,0.0,0.0,-85.83359296719553,359.6911490734742,-345.3549746419925,14.336174431481709,,4907.456282256424,2966.4582559555224,1406.4279936199478,4372.88624957547,AG2502.SHF,AG2502C7700.SHF,AG2502P7700.SHF,10.068720155201651,10.068720155201651,0.0,0.0,0.0,2.013945425581972,-266.71438616870137,mtm
2025-01-13,2025-01-13T15:00:00.000000,999083.1816387895,3640.315019763723,991748.2829811065,-531.5589351709207,146.74367648534445,-601.6756720936944,-76.62693956257073,-678.3026116562651,1409.731241980445,0.0,0.0,0.0,142.58997948774396,-601.6756720936944,-76.62693956257073,-678.3026116562651,,3640.315019763723,2364.782583861828,1329.801054057377,3694.583637919205,AG2502.SHF,AG2502C7700.SHF,AG2502P7700.SHF,4.153696997600482,4.153696997600482,0.0,0.0,0.0,0.8306563338865383,-810.31522644092,mtm
2025-01-14,2025-01-14T15:00:00.000000,999808.9481326519,4223.144368535551,991682.9999297594,751.7062549531225,543.4860585155178,-1204.2975749970828,1412.5177714346876,208.22019643760473,-65.28305134708035,0.0,0.0,0.0,517.5462974247475,-1204.2975749970828,1412.5177714346876,208.22019643760473,,4223.144368535551,1160.4850088647452,2742.3188254920647,3902.8038343568096,AG2502.SHF,AG2502C7700.SHF,AG2502P7700.SHF,25.93976109077023,25.93976109077023,0.0,0.0,0.0,5.18743347480736,-325.2881638486124,mtm
2025-01-15,2025-01-15T15:00:00.000000,999463.3366684018,1291.2168959106805,994897.8306083065,-335.69479252489043,292.8198776473536,281.62471617044906,-910.1393863426931,-628.514670172244,3214.830678547042,0.0,0.0,0.0,282.9032059221718,281.62471617044906,-910.1393863426931,-628.514670172244,,1291.2168959106805,1442.1097250351943,1832.1794391493718,3274.2891641845663,AG2502.SHF,AG2502C7700.SHF,AG2502P7700.SHF,9.916671725181814,9.916671725181814,0.0,0.0,0.0,1.9835326983054826,-381.862820208793,mtm
2025-01-16,2025-01-16T15:00:00.000000,999869.407999781,0.0,999869.407999781,412.21863172461735,197.4432294070166,1427.392542591497,-1212.6171402738962,214.77540231760076,1484.2573572554527,2868.067516492878,619.2525177260378,3487.320034218916,193.04046134477227,1425.9577914576837,-1212.9269214233339,213.03087003434985,,,,,,AG2502.SHF,AG2502C7700.SHF,AG2502P7700.SHF,6.147300345495389,4.402768062244306,1.4347511338133456,0.30978114943773777,1.7445322832510834,0.8806416766163596,-417.9523387602472,close
2025-01-16,2025-01-16T15:00:00.000000,999862.3623361496,1033.3783872942463,991626.845934567,0.0,0.0,0.0,0.0,0.0,-1036.8229819185603,-3291.788669094855,-3913.950414200423,-7205.739083295278,-3.444594624314155,-1.6450717986481034,-1.9559972084959636,-3.601069007144067,8235.51640158238,1033.3783872942463,3290.1435972962067,3911.994416991927,7202.1380142881335,AG2503.SHF,AG2503C7900.SHF,AG2503P7900.SHF,7.045663631458222,3.444594624314155,1.6450717986481034,1.9559972084959636,3.601069007144067,0.6888500398585415,0.0,open
2025-01-17,2025-01-17T15:00:00.000000,1000018.1203177854,1016.7741117049521,991610.9767310808,155.79642447478918,-32.435036236672524,-187.469634787289,375.7010954987507,188.2314607114617,-15.869203486269626,0.0,0.0,0.0,-32.47347907556379,-187.469634787289,375.7010954987507,188.2314607114617,,1016.7741117049521,3102.673962508918,4287.695512490678,7390.369474999596,AG2503.SHF,AG2503C7900.SHF,AG2503P7900.SHF,0.0384428388912641,0.0384428388912641,0.0,0.0,0.0,0.007689336711927503,-133.888669474796,mtm
2025-01-20,2025-01-20T15:00:00.000000,999957.1775812821,3963.180612016496,988600.1144173893,-51.09475277428453,-54.60782965089502,-470.7145478473815,474.227624723992,3.513076876610512,-3010.862313691495,0.0,0.0,0.0,-64.45581337995091,-470.7145478473815,474.227624723992,3.513076876610512,,3963.180612016496,2631.9594146615364,4761.92313721467,7393.882551876206,AG2503.SHF,AG2503C7900.SHF,AG2503P7900.SHF,9.847983729055889,9.847983729055889,0.0,0.0,0.0,1.9693998058314697,-420.3426062399059,mtm
2025-01-21,2025-01-21T15:00:00.000000,999619.5578237642,2326.544950257496,990282.35170473,-332.1414097356468,51.079973364051796,-79.17724785677308,-304.0441352429255,-383.2213830996986,1682.2372873407276,0.0,0.0,0.0,45.60162558172749,-79.17724785677308,-304.0441352429255,-383.2213830996986,,2326.544950257496,2552.782166804763,4457.879001971744,7010.661168776507,AG2503.SHF,AG2503C7900.SHF,AG2503P7900.SHF,5.478347782324304,5.478347782324304,0.0,0.0,0.0,1.0957791343779333,-142.84640668378913,mtm
2025-01-22,2025-01-22T15:00:00.000000,999201.1888551731,1078.8567848067353,991579.7353524439,-414.1830700432394,53.881380810967926,-31.53801828326408,-436.52643257094326,-468.06445085420734,1297.3836477138898,0.0,0.0,0.0,49.695482263128945,-31.53801828326408,-436.52643257094326,-468.06445085420734,,1078.8567848067353,2521.2441485214995,4021.352569400801,6542.596717922301,AG2503.SHF,AG2503C7900.SHF,AG2503P7900.SHF,4.185898547838979,4.185898547838979,0.0,0.0,0.0,0.8372634359111137,-143.31202812207565,mtm
2025-01-23,2025-01-23T15:00:00.000000,999346.5587041642,4101.686736908613,988466.5591933772,155.48534888682468,-80.23070706915647,-534.5516400909066,770.2676960468877,235.71605595598112,-3113.1761590666565,0.0,0.0,0.0,-90.34620696477847,-534.5516400909066,770.2676960468877,235.71605595598112,,4101.686736908613,1986.6925084305926,4791.620265447689,6778.312773878282,AG2503.SHF,AG2503C7900.SHF,AG2503P7900.SHF,10.115499895622008,10.115499895622008,0.0,0.0,0.0,2.0228976893563515,-142.17482409098963,mtm
