trade_date,bar_ts,future_ts_code,future_close,future_per_unit,call_ts_code,call_close,call_settle,put_ts_code,put_close,put_settle,option_per_unit,rate,ttm,iv_call_used,iv_put_used,delta_call,delta_put,combo_delta,target_future_position,gamma_call,gamma_put,vega_call,vega_put,theta_call,theta_put,nav,margin_by_future,cash,pnl,pnl_future,pnl_call,pnl_put,pnl_option,cash_future,cash_call,cash_put,cash_option,nav_future,nav_call,nav_put,nav_option,capital_used,capital_future,capital_call,capital_put,capital_option,fee,fee_future,fee_call,fee_put,fee_option,slippage,theta_loss,name,pnl_cumsum,pnl_future_cumsum,pnl_call_cumsum,pnl_put_cumsum,pnl_option_cumsum,future_return_rate,call_return_rate,put_return_rate
2025-01-08,2025-01-08T15:00:00.000000,AG2502.SHF,7740.0,15.0,AG2502C7700.SHF,150.5,174.39028041387655,AG2502P7700.SHF,115.0,134.39105052643396,15.0,0.000164,0.03561643835616438,0.2633726323768496,0.263451610263437,0.5543794678016766,-0.445617591529521,0.10876187627215556,-0.10876187627215556,-7.11638659295539e-15,2.8465546371821557e-15,5.792307904390336,5.792306861377789,-8.75220775483379,-8.749818843102375,999991.3711444631,1893.898666472061,993465.7525138863,0.0,0.0,0.0,0.0,0.0,-1900.2116620269678,-2617.1621333112525,-2016.8736907754576,-4634.03582408671,-6.31299555490687,-1.3079271031040742,-1.0079328789482547,-2.315859982052329,6525.618630576719,1893.898666472061,2615.8542062081483,2015.8657578965094,4631.719964104657,8.628855536959199,6.31299555490687,1.3079271031040742,1.0079328789482547,2.315859982052329,1.2627253835202839,0.0,open,0.0,0.0,0.0,0.0,0.0,,,
2025-01-09,2025-01-09T15:00:00.000000,AG2502.SHF,7757.0,15.0,AG2502C7700.SHF,160.0,173.78447379213654,AG2502P7700.SHF,103.5,116.78553121746269,15.0,0.00016662857142857142,0.03287671232876712,0.25612612308934324,0.2562037332169711,0.553732564343501,-0.4462646596456374,0.10746790469786366,-0.10746790469786366,-8.502274403548856e-15,9.683145848486196e-15,5.571366964036669,5.571366100890948,-8.891679213566874,-8.889279864346548,999690.3916894938,1875.8517740887557,993455.9898402608,-300.9041674100689,-27.734278449399667,-9.08709932610023,-264.082789634569,-273.16988896066925,-9.762673625360911,0.0,0.0,0.0,-27.80956600866616,-9.08709932610023,-264.082789634569,-273.16988896066925,,1875.8517740887557,2606.767106882048,1751.7829682619404,4358.550075143989,0.07528755926649316,0.07528755926649316,0.0,0.0,0.0,0.01505600625267613,-262.5303989690425,mtm,-300.9041674100689,-27.734278449399667,-9.08709932610023,-264.082789634569,-273.16988896066925,0.0021963824289405686,-0.003473855425326847,-0.13100217045708978
2025-01-10,2025-01-10T15:00:00.000000,AG2502.SHF,7804.0,15.0,AG2502C7700.SHF,183.5,197.76388373036815,AG2502P7700.SHF,83.0,93.76186624132986,15.0,0.00017485714285714286,0.030136986301369864,0.2594915885291993,0.2595673527382314,0.639754654600709,-0.3602428898667196,0.2795117647339894,-0.2795117647339894,-2.3333811117121104e-15,1.8667048893696884e-15,5.089321905606309,5.089321255305752,-9.004860458058687,-9.002144573961758,999618.894270958,4907.456282256424,990338.551739126,-61.428698380512174,-75.76487281199388,359.6911490734742,-345.3549746419925,14.336174431481709,-3117.438101134864,0.0,0.0,0.0,-85.83359296719553,359.6911490734742,-345.3549746419925,14.336174431481709,,4907.456282256424,2966.4582559555224,1406.4279936199478,4372.88624957547,10.068720155201651,10.068720155201651,0.0,0.0,0.0,2.013945425581972,-266.71438616870137,mtm,-362.3328657905811,-103.49915126139355,350.604049747374,-609.4377642765614,-258.83371452918755,0.006059043444630656,0.13798361507779666,-0.1971448409414792
2025-01-13,2025-01-13T15:00:00.000000,AG2502.SHF,7769.0,15.0,AG2502C7700.SHF,152.0,157.6521722574552,AG2502P7700.SHF,82.0,88.65340360382514,15.0,0.00019537142857142857,0.021917808219178082,0.2633726323768496,0.263451610263437,0.6041714241670935,-0.39593921783930885,0.2082322063277846,-0.2082322063277846,0.008866865791768134,0.0088959110528399,4.330775720183135,4.330775303265421,-10.844298760650872,-10.841578829256619,999083.1816387895,3640.315019763723,991748.2829811065,-531.5589351709207,146.74367648534445,-601.6756720936944,-76.62693956257073,-678.3026116562651,1409.731241980445,0.0,0.0,0.0,142.58997948774396,-601.6756720936944,-76.62693956257073,-678.3026116562651,,3640.315019763723,2364.782583861828,1329.801054057377,3694.583637919205,4.153696997600482,4.153696997600482,0.0,0.0,0.0,0.8306563338865383,-810.31522644092,mtm,-893.8918009615018,43.2445252239509,-251.0716223463204,-686.0647038391321,-937.1363261854526,-0.0044848795489492565,-0.20282627300949135,-0.05448337199641751
2025-01-14,2025-01-14T15:00:00.000000,AG2502.SHF,7595.0,15.0,AG2502C7700.SHF,52.0,77.36566725764968,AG2502P7700.SHF,159.0,182.82125503280432,15.0,0.0002162,0.019178082191780823,0.2897492004185915,0.2909662723727523,0.3764313460560674,-0.6235367280369565,-0.2471053819808891,0.2471053819808891,-4.92713700723996e-16,8.868846613031929e-15,4.005635974272244,4.005627906720473,-12.70539449363632,-12.752126853616545,999808.9481326519,4223.144368535551,991682.9999297594,751.7062549531225,543.4860585155178,-1204.2975749970828,1412.5177714346876,208.22019643760473,-65.28305134708035,0.0,0.0,0.0,517.5462974247475,-1204.2975749970828,1412.5177714346876,208.22019643760473,,4223.144368535551,1160.4850088647452,2742.3188254920647,3902.8038343568096,25.93976109077023,25.93976109077023,0.0,0.0,0.0,5.18743347480736,-325.2881638486124,mtm,-142.18554600837922,586.7305837394687,-1455.3691973434034,726.4530675955555,-728.9161297478479,-0.022396704852619385,-0.5092635505757128,1.062202325020673
2025-01-15,2025-01-15T15:00:00.000000,AG2502.SHF,7674.0,15.0,AG2502C7700.SHF,75.5,96.14064833567961,AG2502P7700.SHF,102.5,122.14529594329144,15.0,0.00020695000000000002,0.01643835616438356,0.27548511281609533,0.2755638127028942,0.46260444940216267,-0.537393551450275,-0.07478910204811234,0.07478910204811234,-1.0376360823198758e-14,2.1717964513671817e-15,3.918980429441129,3.918980055877635,-13.93291715705476,-13.930572093628385,999463.3366684018,1291.2168959106805,994897.8306083065,-335.69479252489043,292.8198776473536,281.62471617044906,-910.1393863426931,-628.514670172244,3214.830678547042,0.0,0.0,0.0,282.9032059221718,281.62471617044906,-910.1393863426931,-628.514670172244,,1291.2168959106805,1442.1097250351943,1832.1794391493718,3274.2891641845663,9.916671725181814,9.916671725181814,0.0,0.0,0.0,1.9835326983054826,-381.862820208793,mtm,-477.88033853326965,879.5504613868222,-1173.7444811729542,-183.68631874713765,-1357.4307999200919,0.010401579986833442,0.24267846117715125,-0.33188678788265374
2025-01-16,2025-01-16T15:00:00.000000,AG2502.SHF,7850.0,15.0,AG2502C7700.SHF,181.0,191.30015117511275,AG2502P7700.SHF,30.0,41.304153258365034,15.0,0.00016800123287671233,0.0136986301369863,0.27138262175023553,0.2714523811638355,0.7172207144096937,-0.2827779072251388,0.4344428071845549,-0.4344428071845549,-1.0146904255246097e-14,1.6142802224255154e-15,3.1139512456742477,3.113951106206017,-12.54926514946473,-12.550100546537138,999869.407999781,0.0,999869.407999781,412.21863172461735,197.4432294070166,1427.392542591497,-1212.6171402738962,214.77540231760076,1484.2573572554527,2868.067516492878,619.2525177260378,3487.320034218916,193.04046134477227,1425.9577914576837,-1212.9269214233339,213.03087003434985,,,,,,6.147300345495389,4.402768062244306,1.4347511338133456,0.30978114943773777,1.7445322832510834,0.8806416766163596,-417.9523387602472,close,-65.6617068086523,1076.9936907938388,253.64806141854274,-1396.3034590210339,-1142.6553976024911,0.02293458431065937,0.9897946860851118,-0.6618440936313964
2025-01-16,2025-01-16T15:00:00.000000,AG2503.SHF,7858.0,15.0,AG2503C7900.SHF,196.0,219.3429064864138,AG2503P7900.SHF,242.0,260.7996277994618,15.0,0.00016800123287671233,0.10684931506849316,0.23282141935080286,0.23242917462252077,0.47079196018063796,-0.5292334669133812,-0.05844150673274329,0.05844150673274329,-7.364548537613143e-15,6.4439799704115e-15,10.235140835451267,10.23516654825351,-4.4693463406892135,-4.456564957630519,999862.3623361496,1033.3783872942463,991626.845934567,0.0,0.0,0.0,0.0,0.0,-1036.8229819185603,-3291.788669094855,-3913.950414200423,-7205.739083295278,-3.444594624314155,-1.6450717986481034,-1.9559972084959636,-3.601069007144067,8235.51640158238,1033.3783872942463,3290.1435972962067,3911.994416991927,7202.1380142881335,7.045663631458222,3.444594624314155,1.6450717986481034,1.9559972084959636,3.601069007144067,0.6888500398585415,0.0,open,-65.6617068086523,1076.9936907938388,253.64806141854274,-1396.3034590210339,-1142.6553976024911,0.001019108280254777,0.146590345794506,5.314125995226495
2025-01-17,2025-01-17T15:00:00.000000,AG2503.SHF,7821.0,15.0,AG2503C7900.SHF,200.5,206.84493083392786,AG2503P7900.SHF,250.0,285.8463674993785,15.0,0.00016866287671232874,0.10410958904109589,0.24074893545359372,0.24088799094781274,0.47110251746874143,-0.5288885805913817,-0.05778606312264023,0.05778606312264023,-8.363693873199946e-15,6.505095234711069e-15,10.07906609992916,10.079056848232334,-4.671770594711717,-4.669176210619526,1000018.1203177854,1016.7741117049521,991610.9767310808,155.79642447478918,-32.435036236672524,-187.469634787289,375.7010954987507,188.2314607114617,-15.869203486269626,0.0,0.0,0.0,-32.47347907556379,-187.469634787289,375.7010954987507,188.2314607114617,,1016.7741117049521,3102.673962508918,4287.695512490678,7390.369474999596,0.0384428388912641,0.0384428388912641,0.0,0.0,0.0,0.007689336711927503,-133.888669474796,mtm,90.13471766613688,1044.5586545571664,66.17842663125373,-1020.6023635222832,-954.4239368910294,-0.004708577246118605,-0.05697916496451671,0.0960382494072271
2025-01-20,2025-01-20T15:00:00.000000,AG2503.SHF,7758.0,15.0,AG2503C7900.SHF,144.5,175.46396097743576,AG2503P7900.SHF,310.0,317.461542480978,15.0,0.00016920856164383562,0.0958904109589041,0.24843341858126222,0.24857064669020473,0.3862769715486975,-0.6132990753889277,-0.2270221038402302,0.2270221038402302,0.0007159482502655275,0.0008231565758516233,9.164434213352203,9.164426375724984,-4.762886139615688,-4.760207639303587,999957.1775812821,3963.180612016496,988600.1144173893,-51.09475277428453,-54.60782965089502,-470.7145478473815,474.227624723992,3.513076876610512,-3010.862313691495,0.0,0.0,0.0,-64.45581337995091,-470.7145478473815,474.227624723992,3.513076876610512,,3963.180612016496,2631.9594146615364,4761.92313721467,7393.882551876206,9.847983729055889,9.847983729055889,0.0,0.0,0.0,1.9693998058314697,-420.3426062399059,mtm,39.03996489185235,989.9508249062714,-404.53612121612775,-546.3747387982912,-950.9108600144189,-0.00805523590333717,-0.1517125400655205,0.11060198266003224
